data$Gene	MmFC1	MmFC2	MmFC3	MmFC4	MmFC5
SHOX2	39.85521101	13.21433414	6.594982696	11.42764764	47.49689178
GM26457	0	0	0	0	0
GM25659	0	0	0	0	0
GM27702	0	0	0	0	0
GM22889	0	0	0	0	0
GM23212	0	0	0	0	0
GM23763	0	0	0	0	0
MIR187	0	0	0	0	0
GM22836	0	0	0	0	0
GM22489	0	0	0	0	0
GM22555	0	0	0	0	0
MIR143	0	0	0	0	0
SNORD37	10.1158870691373	11.4950631277098	8.324795877991	9.01054066168729	8.99362409014321
MIR130A	0	0.211346796796533	0.846872389075895	0.281839633082507	0
MIR15B	0	0	0	0	0
MIR375	0	0	0	0	0
MIR142	0	0	0	0	0
GM26202	20.3706447724394	17.9137528882699	10.2279807169891	15.8017826365473	16.1804519527594
MIR155	0	0	0	0	0
MIR106A	0	0	0	0	0
MIR99A	2.61071580559284	0.819678638844242	0	0.923861238619709	1.79434432701861
MIR146	0	0	0	0	0
SNORD98	10.9106478340539	12.9077082436271	19.3691795566374	8.13386327810175	16.050518418201
MIR129B	0	0	0	0	0
SNORD58B	8.53726464401011	9.10052255582031	7.67247306879306	5.31597585722533	5.10885388457032
MIR193A	0	0	0	0	0
MIR144	0	0	0	0	0
MIR122	0	0	0	0	0
SNORD78	0	0	0	0	0
GM24431	0.448394828499469	0	0	0	0.176715729176075
GM25296	0	0	0	0	0
MIR194-1	0	0	0	0	0
MIR190A	0	0	0	0	0
GM22200	6.77064179057272	9.11672371362943	4.23211828072826	5.3560674104821	13.2937489702989
SNORD95	0	0	0	0	0
SNORD73A	16.0912191624359	11.8543224201317	9.95339699821728	10.989544989612	10.9193368122399
MIR133A-1	0	0	0.855621680577606	0.265260831136477	0
MIR124A-3	0	0	0	0	0
MIR302C	0	0	0	0	0
MIR10B	0	0	0	0	0
MIR204	0	0	0	0	0
MIR205	0	0	0	0	0
GM23531	0	0	0	0	0
GM24016	0	0	0	0	0
GM24297	0	0	0	0	0
SNORD42B	5.7280143842558	4.68445307935787	3.26622681926835	4.37610387061862	2.72087980272349
GM22680	0	0	0	0	0
GM23389	0	0	0	0	0
SNORD2	0	0	0	0	0
SNORD82	0.211386133435464	0.333554923367952	0	0.60018919990001	0.166617687508871
GM23650	0	0	0	0	0
MIR140	1.50364220663971	3.1349706978082	2.08371954564418	0.829903354061278	5.71550373204416
MIR200B	0	0	0	0	0
MIR145A	0	0	0	0.257681950246863	0
MIR183	0	0	0	0	0
GM22354	0	0	0	0	0
GM26109	4.14724420279902	3.02915511625964	7.55342242391119	2.70971698508699	2.74341293523737
SCARNA9	0.899933581391804	1.12703661521787	0.51618888477007	1.00833927298246	1.60477403110735
GM22615	0.430752024401415	1.61628064718734	0.277058448948939	0	0.666470750035483
GM23713	2.08811236139702	2.63393140219534	2.99773417657902	3.26757380071219	1.76861330513673
GM22455	18.8311849568122	19.3074647057064	22.5763295592188	16.2513569958114	19.6051008582492
SNORD45B	0	0	0	0	0
SNORD61	0.625226591851372	0.53963349408896	3.42703737148577	0.508105254007899	0.859249743713714
GM24134	0	0	0	0	0
MIR30A	0	0	0	0	0
MIR138-2	0	0	0	0	0
MIR29B-1	0	0	0	0	0
SNORD38A	0	0	0	0	0
GM25091	0	0	0	0	0
GM24299	36.3847929475949	42.3352169128672	34.3571993417456	33.3753256763521	42.9553030858362
