data$Gene	bud_OF	bud_OH	eOFC2	eOFC3	eOFC4	eOHC1	eOHC2	eOHC3	eOHC4	eOHC5	lOFC2	lOFC3	lOFC4	lOHC1	lOHC2	lOHC3	lOHC4	lOHC5
SHOX2	76.654984	70.50424949	2.536515656	2.026939889	2.854020562	2.44484275	1.41622259	1.12348693	1.96487055	2.10489342	2.47428116	1.23990173	2.5607934	2.00832494	1.78802105	1.00519267	1.21138716	1.65003278
5S_rRNA	4.911471401	1.40589414	1.405141077	1.292099986	2.745121384	1.535702448	1.369986789	3.190577661	1.615241137	1.488084796	1.548589174	7.790690787	5.690604406	2.757483862	4.106386897	2.812005346	0	7.141803627
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098604088	0	0
A4GALT	0.598286651	2.078843532	1.509697442	1.68061628	1.512742606	0.461293768	0.491704606	1.188003678	1.196892956	1.29941633	0.858332279	0.51310456	1.086932583	0.390940961	1.288501058	1.005928727	1.176855881	0.49591868
A4GNT	0	0.753759827	0.675736919	0.313475838	0.999271011	1.066710544	0.332371922	0.927500617	0.587809466	0	0.751405145	0.187402286	0.176373639	0.167248002	0.65514572	0.17055486	0.937999601	0.376436309
AAAS	117.0570238	152.0531486	149.1589787	136.9715563	135.3438013	108.2100005	101.3714627	115.75958	117.4625327	118.6362073	111.1276248	105.6585628	108.5538499	127.7077284	121.5435134	128.2603323	114.9886724	127.1536799
AACS	26.58696726	19.89755699	24.97288563	24.14894089	25.01441916	26.80428512	33.80648632	36.07571717	35.73956624	24.27043647	33.6013953	34.82253341	33.5033634	28.73705397	36.64678071	44.23673616	37.87118932	33.45104302
AADAT	12.28404048	11.50797385	6.516071384	8.29502313	6.680943785	7.458288684	8.26491181	7.715285952	8.789166221	5.702003232	8.074918311	7.997510731	9.118163691	5.264819434	6.959031169	6.650786905	7.303244689	6.620328078
AAK1	8.024921301	6.824958463	2.813892878	3.443132492	3.672980512	3.470128559	6.044663814	8.833614848	3.927964739	5.640889543	4.825576577	8.34365148	7.612504526	3.369110762	5.970919364	7.881940851	7.528371858	5.317426743
AAMDC	110.1008532	84.33570379	52.37200625	65.12650446	67.62488543	86.20916435	85.73979123	101.0195193	86.39581669	79.67009431	81.55629842	90.74748704	92.37993336	59.95278839	97.63042236	96.19931287	96.36240577	77.46768928
AAMP	82.78672776	111.2816059	107.0622782	93.43295105	108.915308	90.65977953	95.37851465	85.70946652	94.89228747	106.7115157	84.4488874	83.52422781	79.7376243	100.1680754	82.62706027	88.0024671	86.72155315	81.42508258
AAR2	26.80278718	18.84750723	19.68640308	19.85916976	16.72944395	21.4829058	21.32926585	27.94042066	20.85869591	15.16660272	26.30209057	31.16278629	25.38348071	20.56386363	23.33644947	28.78802801	21.63086444	20.02479819
AARS	81.4892219	113.1763005	70.14320128	75.90342105	73.69137333	73.00699951	74.8688111	78.61090354	68.81617199	75.19473098	74.80825343	83.64999756	84.43123283	71.76712731	78.27824464	83.00819851	79.9593594	76.27846378
