eCFC2	eCFC3	eCFC4	eCHC1	eCHC2	eCHC3	eCHC4	lCFC2	lCFC3	lCFC4	lCHC1	lCHC2	lCHC3	lCHC4
ZPLD1	0.00745391961733777	0.0516874054502684	-0.0591413250676061	0.418205293873036	-0.168081087226576	-0.175518863107822	-0.074605343538638	-0.574245577402077	0.565672783736747	0.00857279366533081	1.57784699922842	0.226280380940751	-1.09675574735861	-0.707371632810562
ZNF521	-2.73230705502928	-0.542255586480847	3.27456264151012	-1.69461996015289	-0.847873389387914	0.673114180762539	1.86937916877826	-0.0324125830672877	-0.336240718177407	0.368653301244693	-1.17407961231454	-0.511678146505282	0.998528135838024	0.6872296229818
ZNF507	0.14704272746469	-0.234446030111739	0.0874033026470498	0.128111375056291	-0.294763448873887	-0.0133914495174858	0.180043523335081	-0.775651640861103	0.662202013604324	0.11344962725678	0.299932740797631	0.00125746524411863	-0.369270350300211	0.0680801442584609
ZNF423	0.948563232160826	-2.35739330121627	1.40883006905544	4.07374937862284	-0.896010232388853	-1.9718265056584	-1.2059126405756	2.04249594210122	-2.00527350083232	-0.0372224412688933	1.15114154113419	1.04359141869161	-0.911827470474512	-1.28290548935128
ZMYND11	-1.07311929864498	0.292967553815021	0.780151744829961	-0.152953401859579	-0.488832913172626	0.416885180919579	0.224901134112622	-0.675019850736271	0.11575067158874	0.559269179147529	0.499424630172026	0.0418184274686144	-0.605277941355746	0.0640348837151041
ZMYM3	0.29724061652414	-0.0802466855025603	-0.216993931021579	0.217810507751754	0.0297948602926432	-0.0245075955593954	-0.223097772485001	1.88043782187704	-1.04195534672291	-0.838482475154131	0.296141622882281	-0.0266509179158829	-0.388872009524323	0.119381304557924
ZMIZ1	-1.22950883661781	0.847737511771088	0.381771324846721	0.527616388302492	-1.04025108996199	0.593858600485477	-0.0812238988259804	0.39690747272153	-0.0931274382398755	-0.303780034481655	0.256968930474034	0.304147043661622	-0.662823718775197	0.101707744639537
ZIC2	7.99390503030865	-5.88340513545846	-2.11049989485018	3.55424855986189	3.73839429499313	-6.42484519541487	-0.867797659440143	7.04296802663134	-2.56325420166266	-4.47971382496867	0.16980976787934	-0.501104768463216	-1.93453193958714	2.26582694017101
ZHX3	0.0424807224138375	0.0829598383795656	-0.125440560793403	0.35323386510641	-0.204024844125418	-0.0813299861619532	-0.0678790348190379	1.03238260162205	-0.504110211830025	-0.528272389792027	0.129296070095716	0.000734222304037857	-0.0175777729300171	-0.112452519469738
ZFP64	0.477430371015497	-0.341460768448217	-0.135969602567281	0.102571468917661	0.184116084263646	-0.0757904992770229	-0.210897053904285	1.51015932194155	-0.729394401763293	-0.780764920178258	0.130205929660147	0.245755070259098	-0.482525566323267	0.106564566404022
ZFHX4	0.159536660119032	-0.496138116458948	0.336601456339917	1.91432755024833	-1.25889246532291	0.171187253899609	-0.826622338825022	0.471947514381403	0.00191388235477241	-0.473861396736174	1.3627408794643	0.80830417544635	-1.39624989291489	-0.774795161995756
ZFHX3	-1.58313750895205	0.319446164150412	1.26369134480164	0.717858085233264	-1.90109956961757	0.355109556321869	0.828131928062437	0.797569249849504	-0.120234925065166	-0.677334324784339	-0.149698414870696	-0.0959290377645923	-0.69521204353498	0.940839496170266
ZFAND5	-0.133693333250999	-0.349788907718706	0.483482240969703	-0.530254033558851	-0.205005125887437	0.27619250616949	0.459066653276802	0.133246588295863	-0.30525113480426	0.172004546508395	0.241232567631673	-0.0683059886308257	-0.297062901725242	0.124136322724393
ZEB2	-1.46009993620326	1.41838454657602	0.0417153896272424	-0.669963694546293	-1.25135112955461	1.49803867479999	0.423276149300908	-0.434842475777739	0.714773751185721	-0.279931275407982	0.327330923018387	0.887196717439299	-0.0575552501253824	-1.1569723903323
ZEB1	-0.662147791562761	0.0715815531503159	0.590566238412446	-0.661982024864953	-1.0695708910927	0.526554713352508	1.20499820260514	-1.09997567160444	0.418817659347835	0.681158012256605	-0.26510221542568	-0.23953436119147	0.254459467660277	0.250177108956871
ZDHHC8	-0.607346942405225	-0.00653835372064737	0.613885296125872	-0.326853028501164	-0.791901818961494	0.287193535436688	0.83156131202597	-0.337092951282762	0.0203630000260535	0.316729951256708	-0.0434212025279903	0.047062157713273	-0.295310710556508	0.291669755371227
