,AxmFD1,AxmFD2,AxmFD3,AxmFD4,AxmHD1,AxmHD2,AxmHD3,AxmHD4,AxmHD5,TurFD1,TurFD2,TurFD3,TurFD4,TurFD5,TurHD1,TurHD2,TurHD3,TurHD4,TurHD5,CorFD1,CorFD2,CorFD3,CorFD4,CorFD5,CorHD1,CorHD2,CorHD3,CorHD4,CorHD5,ChiFD1,ChiFD3,ChiFD4,ChiHD1,ChiHD2,ChiHD3,ChiHD4,EmuFD1,EmuFD3,EmuFD4,EmuHD1,EmuHD3,EmuHD4,OstFD1,OstFD3,OstFD4,OstHD1,OstHD2,OstHD3,OstHD4,OstHD5
PAX9,1,0.359162379,0,0.109042834,1,0.139006874,0,0.048871214,0.15158705,1,0.048622962,0,0.056827281,0.542410617,1,0.027035524,0.001244393,0,0.311020284,1,0.005731647,0.004416851,0,0.098766852,1,0.062163264,0.029740611,0.012763745,0,1,0.089606711,0,1,0.018041748,0.002528639,0,1,0,0.000498284,1,0.033658735,0,1,0.221061855,0,1,0.147505452,0,0.013953085,0.09446974
MSX1,0.383035542,1,0.192474121,0,0,0.485274748,0.84257455,1,0.94595132,0.151025759,1,0.351388521,0,0.047709828,0.354979819,1,0.653269067,0.236443504,0,1,0.139608191,0,0.264853114,0.361880596,0.854228645,0.080461601,0.233058557,1,0,1,0.183692972,0,0,1,0.147067389,0.188010896,1,0,0.046765173,1,0,0.59068608,1,0,0.262093399,0,1,0.933191643,0.449520698,0.007351049
ZIC3,1,0.536263671,0,0,1,0.052218743,0,0,0.007491077,1,0.561277037,0.243360795,0.011198648,0,1,0.551917313,0.203121353,0,0.080368004,1,0.403388485,0.451818109,0,0.283808349,1,0.670768849,0.200358528,0,0.446042327,1,0.054306789,0,1,0.284690053,0.003862598,0,1,0.044451927,0,1,0.048043918,0,0,0,0,0,0,0,0,0
HOXC11,0.519927859,0.612760716,0,1,0,0.079405034,0.334251591,1,0.284654739,0.167433262,1,0.592798589,0.111045946,0,0,0.020781913,0.028032583,0.378566433,1,0,0.939936967,0.168320869,1,0.749603567,0,0.010195654,0.114351536,0.526904859,1,0,0.188511226,1,0,0.008756532,0.280430776,1,0,0.237904455,1,0,0.120569836,1,0,0,0,0.029006725,0,0.139834962,1,0.812374249
ENPP2,0,0.107567155,0.6947627,1,0.002930743,0,0.142047132,0.621706714,1,0.617243033,0,0.062350726,0.141256036,1,0.250995403,0.081043304,0.035150985,0,1,0,0.105728051,0.307666736,0.517204293,1,0,0.188961159,0.288928333,0.570255515,1,1,0,0.227112762,0,0.33628243,1,0.70321093,0.419429387,1,0,0,1,0.092841143,0,1,0.459630364,0.083368643,0.715532492,1,0.945762138,0
ISL1,0.081945826,0,1,0.609699302,0.005197195,0.057432211,0.086247808,0,1,0.222349948,0,0.215308179,0.639793513,1,0.020859312,0.018268914,0,0.188082536,1,0.468793094,0,0.168865497,0.00149952,1,0.008119217,0,0.002649147,0.088063738,1,0.041081276,0,1,0,0,0,1,0,0.470625211,1,0,0.020776319,1,0,0,0,0,0,0,0,0
SHOX,0,0.105910188,0.381040255,1,0,0.209669337,0.450529202,0.094305436,1,0.487751125,0,0.025004187,0.222780467,1,0.124470998,0,0.021419948,0.26369815,1,0.01205804,0,0.055743479,0.210649453,1,0,0.05563306,0.044908822,0.055604337,1,1,0,0.164077402,1,0,0.4408543,0.266231574,1,0,0.243732882,0.003514927,0,1,0.660542329,0,1,0,0.77859186,0.160782475,0.391357021,1
SHOX2,0.030851952,0.03920985,0,1,0.039050177,0.199548687,0.049610478,0,1,0.279543737,0.091999749,0.012844045,0,1,0.214248117,0.580554893,0.226375462,0,1,0,0.094042232,0.190924247,0.102832717,1,0.074519456,0,0.56992528,0.133503749,1,0,0.155134819,1,1,0,0.558596893,0.655381277,0.025513031,0,1,0.115473266,1,0,0,0,0,0,0,0,0,0
TBX2,0,0.036930291,0.340528198,1,0,0.122584202,0.157910125,0.448892589,1,0.01975449,0,0.100843031,0.348109555,1,0,0.008562948,0.055277652,0.354957595,1,0.136480586,0.032069511,0,0.014883478,1,0.059347092,0,0.014252168,0.139915278,1,0.128097213,0,1,0.534055688,0,0.270397841,1,0.30839643,0,1,0.113709127,0,1,0,0,0,0,0,0,0,0
TBX3,0.28761594,0,0.142421251,1,0.396071197,0.07593172,0,0.178571582,1,0.01975449,0,0.100843031,0.348109555,1,0,0.008562948,0.055277652,0.354957595,1,0.10953133,0,0.065617808,0.576608147,1,0.087953057,0,0.014693237,0.436776053,1,0.239798308,0,1,0.603921338,0,0.010740086,1,0.494718234,0,1,0.083787313,0,1,0.196083926,0,1,0.285482918,0.107467078,0,0.562010172,1
