Tau	D1	D3	D4	Tau_info	gene	names
A4GALT	0.562186150263125	2.91924924870073	4.52928295149455	8.50650590961413	MAX_ D4	A4GALT	eChiF
ABCC8	0.778279114576683	11.4126871355913	2.42475315851222	2.63610903501299	MAX_ D1	ABCC8	eChiF
ABI3	0.537687368440236	4.6632561687505	2.06561531732901	2.24614914469568	MAX_ D1	ABI3	eChiF
ACOT9	0.592604477666463	67.4539793859107	28.9515704249076	26.0093279058898	MAX_ D1	ACOT9	eChiF
ADAM19	0.563102040643824	7.57338474308041	21.0375538274597	10.8091439310453	MAX_ D3	ADAM19	eChiF
ADAMTS2	0.511478746050743	1.78353060423118	3.40693503945033	1.54518975096069	MAX_ D3	ADAMTS2	eChiF
ADAMTS20	0.508381178734534	1.33421778707052	3.36826990459186	4.78265628597966	MAX_ D4	ADAMTS20	eChiF
ADAMTSL2	0.663513061650661	26.8913391928243	52.868336249706	8.68767000774963	MAX_ D3	ADAMTSL2	eChiF
ADCY7	0.607790180914109	1.24977266069394	1.1396768850362	3.04613682454348	MAX_ D4	ADCY7	eChiF
ADCYAP1	0.935885079932581	85.9262057245083	10.8237213919052	0.194582231541634	MAX_ D1	ADCYAP1	eChiF
ADGRB3	0.728438017449272	0.611727943987	1.41986829453394	3.74057557585668	MAX_ D4	ADGRB3	eChiF
ADGRG2	0.519207550943509	14.051031695847	7.73399529600964	5.77726458562368	MAX_ D1	ADGRG2	eChiF
ADGRG6	0.585798455891942	3.22634857963035	8.45762147016243	14.1042087070837	MAX_ D4	ADGRG6	eChiF
ADRA2C	0.527841400262464	30.0335772417542	31.2594507577437	64.9072451858015	MAX_ D4	ADRA2C	eChiF
AGR2	0.507889900793411	10.2402623306147	4.62088819816124	5.45778482467936	MAX_ D1	AGR2	eChiF
AGTR1	0.668112264454595	4.94405680048778	0.634358180704315	2.64738545113918	MAX_ D1	AGTR1	eChiF
AIFM3	0.546902843272362	6.29431471328036	3.62443830503256	2.07943389523998	MAX_ D1	AIFM3	eChiF
AJAP1	0.749579185497271	10.0692187053681	2.87023454776228	2.1728493514465	MAX_ D1	AJAP1	eChiF
ALDH1A2	0.535319548272016	23.3608116790146	77.961997552473	49.0940208015836	MAX_ D3	ALDH1A2	eChiF
ALKAL2	0.570045673592869	4.85644913904965	2.03001649659199	2.14608614002918	MAX_ D1	ALKAL2	eChiF
ALX1	0.925881266522216	7.5156484034955	0.363656330474771	0.750444351388061	MAX_ D1	ALX1	eChiF
ANGPT4	0.571775094674615	12.2555334922296	3.95688443427095	6.53936490457325	MAX_ D1	ANGPT4	eChiF
ASIP	0.590602871399663	13.6713648913907	20.5015220308785	41.7356211548196	MAX_ D4	ASIP	eChiF
ASTN1	0.638200842926625	9.86313880761342	4.23082841056248	2.90612220282198	MAX_ D1	ASTN1	eChiF
ATCAY	0.538669578582518	10.7109562538789	9.06137705309511	21.4296872578028	MAX_ D4	ATCAY	eChiF
ATP2A3	0.535728692627253	5.20955687475196	10.0721674302083	4.14287980704806	MAX_ D3	ATP2A3	eChiF
ATP6V1G3	0.594687715561031	4.02111867941194	1.78636301893848	1.47325457696685	MAX_ D1	ATP6V1G3	eChiF
AVPR1A	0.92110853858793	9.41916746317096	0.891690355083942	0.594493417825211	MAX_ D1	AVPR1A	eChiF
B3GNT4	0.696987529688165	0.81768230662063	3.69273747785203	1.42020870413345	MAX_ D3	B3GNT4	eChiF
BAALC	0.555224975205215	3.07010135492096	6.07585025940895	2.33467154463507	MAX_ D3	BAALC	eChiF
BARX1	0.686365884772521	48.6702965592383	19.9824602215972	10.5468705768342	MAX_ D1	BARX1	eChiF
BCO2	0.652216675472749	6.21217883444408	1.94022641153864	2.38075800366293	MAX_ D1	BCO2	eChiF
