Tau	D1	D2	D3	D4	Tau_info	gene	names
ABCC8	0.735925189333776	15.4193564794436	7.06043341643115	2.23033069453122	2.9248268177499	MAX_ D1	ABCC8	eChiH
ACAP3	0.50100238390806	12.673919456348	4.80265845898903	8.20967819702563	5.96043012976207	MAX_ D1	ACAP3	eChiH
ACOT11	0.629981090978558	6.27539456467351	2.83856235549037	2.06908397480312	2.05839762120525	MAX_ D1	ACOT11	eChiH
ACTA1	0.639564495732221	6.92889135847764	3.91082012753758	13.0769235717968	3.30045113960012	MAX_ D3	ACTA1	eChiH
ACTA2	0.532164631531312	2.63100984197679	0.369123772297483	6.97574113764499	6.79036166214271	MAX_ D3	ACTA2	eChiH
ACTC1	0.716170230709631	89.3858685139795	1.30613478050966	70.2710161636435	4.53396037027294	MAX_ D1	ACTC1	eChiH
ACTL6B	0.592755934226829	4.57101814578695	2.44650836214026	1.39065141184609	1.74740026925331	MAX_ D1	ACTL6B	eChiH
ACTN2	0.67067855766128	10.2344816067833	0.407227991576834	11.7141051271229	0.931408390154375	MAX_ D3	ACTN2	eChiH
ADAMTS17	0.592971801343893	38.2500636566139	17.418253993875	12.7124666014483	16.5758429305756	MAX_ D1	ADAMTS17	eChiH
ADAMTS18	0.642833796382683	7.47797524950018	2.61358073587832	2.31522336959737	3.08383598634902	MAX_ D1	ADAMTS18	eChiH
ADAMTS9	0.556208157579504	14.3479375966668	2.51986244757483	9.83238765562804	6.7502428796743	MAX_ D1	ADAMTS9	eChiH
ADGRD1	0.543418271647619	2.29103171782731	3.02353781311214	7.5880527446212	5.07912917996507	MAX_ D3	ADGRD1	eChiH
ADRA2A	0.758286096272158	6.59503407952139	1.37070605016736	1.76981668624859	1.64181156132186	MAX_ D1	ADRA2A	eChiH
AFF3	0.69198865085147	7.14297529979953	1.2829680351155	2.61711126706297	2.70027307489917	MAX_ D1	AFF3	eChiH
AGTR2	0.755791430753741	6.22288671640022	1.59049829351672	2.3647812654389	0.603767225825317	MAX_ D1	AGTR2	eChiH
AIFM3	0.553843363219419	5.30982376553419	3.30518859688173	1.82879008307578	1.97306065942749	MAX_ D1	AIFM3	eChiH
AJAP1	0.694116809975793	2.30155343493986	0.357002971899877	0.356874061855357	3.28603703095121	MAX_ D4	AJAP1	eChiH
AKAP12	0.545287728300636	77.4507038305626	52.8659228235501	109.309567934743	175.661408692078	MAX_ D4	AKAP12	eChiH
ALDH1A2	0.572481671811562	33.149465346576	13.8298222077526	64.3285313334633	35.5255909571708	MAX_ D3	ALDH1A2	eChiH
ALDH1A3	0.765460970943183	213.877270728952	46.0535195647786	72.03034968875	32.4038329887426	MAX_ D1	ALDH1A3	eChiH
ALX1	0.931697568554722	8.33220944057838	1.55726042925597	0.11027457973472	0.0397954833177185	MAX_ D1	ALX1	eChiH
AMER3	0.583867335030234	3.28394202074307	0.909082231174836	1.50724765681101	1.68333674610819	MAX_ D1	AMER3	eChiH
ANGPT1	0.769733782697072	21.3592890046935	3.52229085443764	5.04480993781619	6.18786725791853	MAX_ D1	ANGPT1	eChiH
ANGPT4	0.575862783793033	15.9501418004373	8.25181201389765	5.56251676881965	6.48081744131427	MAX_ D1	ANGPT4	eChiH
ANKRD2	0.592364600404772	1.83437243919087	3.14780579637295	0.966916802399357	1.04818197936776	MAX_ D2	ANKRD2	eChiH
ANXA1	0.603356496769019	12.2863563991473	4.70900691094323	4.05082877416257	5.86007464720069	MAX_ D1	ANXA1	eChiH
APOA1	0.559213841225363	2.96927967299045	3.55309903997507	8.24323633852549	4.37813473162494	MAX_ D3	APOA1	eChiH
APOBEC2	0.648012739928447	5.559382279792	1.08973700692992	8.58211858370698	2.41326993094261	MAX_ D3	APOBEC2	eChiH
ARHGAP28	0.693525582466106	49.4222777762772	12.4623338083696	15.8681957248365	17.1094618508425	MAX_ D1	ARHGAP28	eChiH
ARL11	0.529481449346898	1.16801010288773	4.64150260477495	2.41999874220461	2.96373039026158	MAX_ D2	ARL11	eChiH
ARMC2	0.630730108869738	3.59626458710354	1.10380134298581	1.44192989610513	1.43824545857508	MAX_ D1	ARMC2	eChiH
ASCL2	0.553811794504317	7.28859456866305	21.305072491619	10.9284123082878	10.3012093120219	MAX_ D2	ASCL2	eChiH
ASIP	0.500156475637029	14.3894846445085	4.6012534405713	28.3008634685366	23.447271930806	MAX_ D3	ASIP	eChiH
ATOH8	0.729825123708511	468.162389769292	88.2237284954456	142.440553496896	148.792865228398	MAX_ D1	ATOH8	eChiH
B3GNT4	0.515498212359288	1.39069354681782	1.53778206820879	3.05554173606293	1.51277068497327	MAX_ D3	B3GNT4	eChiH
BARX1	0.524402386391339	2.35393108892786	7.14679783511863	16.8116370727003	14.485994493847	MAX_ D3	BARX1	eChiH
BARX2	0.511478692028974	4.54204107068337	9.18616589171607	16.5329816909184	10.501934558526	MAX_ D3	BARX2	eChiH
BATF3	0.589600438151348	5.19098561906788	5.43347632352964	13.4688374304058	5.95835299755029	MAX_ D3	BATF3	eChiH
BCO2	0.712206070872379	5.27290566325187	2.77347865241096	1.01354098462078	0.765511079207875	MAX_ D1	BCO2	eChiH
BHLHE41	0.559740637768794	3.72982087010031	3.26630148961773	6.51850794905117	10.232324752299	MAX_ D4	BHLHE41	eChiH
BMF	0.690819539021772	35.6881768963712	8.89958675433787	12.139106369578	12.0635678289619	MAX_ D1	BMF	eChiH
BMP3	0.502352241475814	2.90794106963587	2.40471630352273	2.32300761075874	5.11450442146838	MAX_ D4	BMP3	eChiH
BMP6	0.500205427920415	2.20027454841801	1.04405796521431	4.64342645075986	3.71794549418933	MAX_ D3	BMP6	eChiH
BOC	0.551552116772672	138.498866960291	73.1696124369552	68.058907601466	45.1000511147563	MAX_ D1	BOC	eChiH
BRINP2	0.790948489260354	1.13757516766664	2.08679613287794	4.95859310093176	13.0477641172809	MAX_ D4	BRINP2	eChiH
BVES	0.593255143661475	2.07608666066251	0.762795526769715	5.69092624981443	4.10538275230951	MAX_ D3	BVES	eChiH
C10H15ORF59	0.560230972579663	6.61511099123129	3.04634952681663	3.57876370068121	2.10224955317625	MAX_ D1	C10H15ORF59	eChiH
C12orf75	0.572578030268712	27.3701716518391	7.75516478013716	13.7058319173473	13.6348413404531	MAX_ D1	C12orf75	eChiH
C1QB	0.782378456618329	5.63664933989342	1.8755284369643	0.264192350782016	1.54024819880033	MAX_ D1	C1QB	eChiH
C1QTNF6	0.55588974690943	9.12882022082195	3.70614276378733	3.93099882162449	4.52546639065082	MAX_ D1	C1QTNF6	eChiH
C2H8ORF22	0.837273813695939	1.05974158248649	2.15038259143559	2.57356493951669	11.8474869652749	MAX_ D4	C2H8ORF22	eChiH
C3H1orf95	0.573975805758138	13.668198627188	34.7090359020808	16.5990760026939	14.0933925294056	MAX_ D2	C3H1orf95	eChiH
C9H2ORF82	0.641559237166191	1.20953306741057	8.9639675177393	21.9924849453634	13.4755086561315	MAX_ D3	C9H2ORF82	eChiH
CACNA1C	0.510277391538473	7.81640756541541	3.30108980789965	4.93305372012404	3.24947097717726	MAX_ D1	CACNA1C	eChiH
CACNG1	0.744062689881884	4.25435181953645	0	3.14993794434531	0.116604138619501	MAX_ D1	CACNG1	eChiH
CACNG5	0.545451020307568	8.28282050015863	16.5061654778325	7.00678231060618	7.2189792189848	MAX_ D2	CACNG5	eChiH
CALCR	0.552616829285664	2.078063063764	8.25566428266111	6.24607441269556	2.7561983129305	MAX_ D2	CALCR	eChiH
CAMK4	0.613548977912168	5.49387913046186	2.99381930774703	1.96606508820161	1.40946121963334	MAX_ D1	CAMK4	eChiH
CAP2	0.521373128099384	7.72233832232194	2.26265903118878	4.22470679443444	4.60099007929038	MAX_ D1	CAP2	eChiH
CASQ2	0.653814408050766	2.0380513123309	0.583345490926196	3.13534184943436	0.634833719071823	MAX_ D3	CASQ2	eChiH
CBLN1	0.817899873696243	9.2241902332756	1.58322620324561	2.12070861161171	1.33524380473079	MAX_ D1	CBLN1	eChiH
CBLN2	0.669632911627743	0.0767240704559964	0.103967236675711	3.67126865944191	3.45790770582472	MAX_ D3	CBLN2	eChiH
CCDC85A	0.551288792546656	54.1625257493018	23.3733687159935	21.6819278043125	27.8547004627702	MAX_ D1	CCDC85A	eChiH
CCKBR	0.73296290931192	1.77279650489726	2.05739657363532	6.93056256874759	1.72195871703761	MAX_ D3	CCKBR	eChiH
CCN3	0.780837004567296	1.81180352135921	0.652632982527003	10.4006499908043	4.37387631540918	MAX_ D3	CCN3	eChiH
CD300LG	0.56113972042633	4.34093131044407	1.3881798000669	2.27773803622423	2.04926914924362	MAX_ D1	CD300LG	eChiH
CD38	0.610384377704113	5.03285404705282	7.14294125089398	7.53137472350304	16.8603523521648	MAX_ D4	CD38	eChiH
CD74	0.535680600203053	33.2653618361193	21.370939541267	11.5138793674583	13.4524396166002	MAX_ D1	CD74	eChiH
CDH4	0.533480165207389	19.4427050895623	7.18206905136071	13.4741566287262	6.55499701882526	MAX_ D1	CDH4	eChiH
CDH6	0.563869622184523	10.2592390925695	2.77121766946941	4.19716522519596	6.45471456995956	MAX_ D1	CDH6	eChiH
CDH8	0.773641717620381	10.6845438419647	3.57851702754216	1.97164171828003	1.70544623040841	MAX_ D1	CDH8	eChiH
CDKN2C	0.567470993287807	0.949523242620866	2.77966965522961	0.529152300686603	3.28174151903035	MAX_ D4	CDKN2C	eChiH
CFAP126	0.591736159313149	2.81281657142541	4.51416892009168	1.48562931096169	1.23046994009043	MAX_ D2	CFAP126	eChiH
CHGB	0.694758506766416	27.6916462101783	75.5392222205609	251.639522006428	387.529653628059	MAX_ D4	CHGB	eChiH
CHRDL1	0.548582990130756	6.33726136854497	25.9648688234164	43.6248557521511	26.776875626878	MAX_ D3	CHRDL1	eChiH
