Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
AADAC	0.534812332988399	4.85300738788421	4.66825777689228	3.603595363047	3.23079345365785	8.78981491843456	MAX_ D5	AADAC	eCorH
ABCC8	0.563149788093971	3.94659990009234	3.70065888525311	4.16827304980256	5.76341154920939	10.0600519956591	MAX_ D5	ABCC8	eCorH
ABLIM2	0.675682521043114	1.1316700098331	1.5789776349629	0.882367461393794	1.32178825431772	3.78857422078759	MAX_ D5	ABLIM2	eCorH
ACTA1	0.554370548148841	20.0341790952418	42.599180127373	56.6965983294292	97.7985665768902	54.9977289099108	MAX_ D4	ACTA1	eCorH
ACTC1	0.517652328334223	123.324738655089	391.531471260738	484.024788618249	895.962403741906	729.780518845847	MAX_ D4	ACTC1	eCorH
ACVR1C	0.606029074509561	2.81998522030569	3.01884302838561	1.50182255320236	0.435537753705707	0	MAX_ D2	ACVR1C	eCorH
ADAMTS19	0.609174439808436	10.6830892939602	8.22975633943258	13.2599778385979	11.3010178131105	27.8089803439368	MAX_ D5	ADAMTS19	eCorH
ADAMTS3	0.530226001715659	5.37092426632837	11.790975050795	12.1618399171658	12.6274968706996	22.3252224783612	MAX_ D5	ADAMTS3	eCorH
ADAP1	0.521617554621712	20.0269539149227	17.4847191240428	10.5076504911025	4.45219111305057	5.87761202100012	MAX_ D1	ADAP1	eCorH
ADCY7	0.502151096938379	3.29719157954094	2.72492284440379	2.22586436187333	2.20223421750704	5.24768305155411	MAX_ D5	ADCY7	eCorH
ADCY8	0.703649745068469	1.14197207102519	2.38523089885698	2.66055804879053	3.0666911544521	7.80702228117111	MAX_ D5	ADCY8	eCorH
ADCYAP1	0.740304071244311	3.12912069238907	7.41867085072633	19.2551585903111	33.1850395558253	4.66912853955077	MAX_ D4	ADCYAP1	eCorH
ADGRB3	0.825416273023538	0.405953329927501	0.307399225317615	1.17348492668369	2.39513622962854	6.13169077341134	MAX_ D5	ADGRB3	eCorH
ADGRD1	0.635442374319581	87.8350676799079	47.2006903128285	41.6118908306616	24.0924470088271	137.660058171571	MAX_ D5	ADGRD1	eCorH
ADGRE3	0.526968862314337	5.22478877105039	2.35505794499009	1.04491365914151	2.20483485743645	4.28114464458092	MAX_ D1	ADGRE3	eCorH
ADGRL2	0.598892940341668	45.4486258290247	60.6663716195427	62.6242766360405	74.845291713366	151.820168663612	MAX_ D5	ADGRL2	eCorH
ADPRHL1	0.541312052080194	0.706034760199108	1.82403493282521	4.42063418082235	5.70804819887485	3.52214778603034	MAX_ D4	ADPRHL1	eCorH
ADRA1D	0.529396398316833	1.31645931239317	1.74214694747786	2.23699462838091	2.49157099832216	4.13679998342682	MAX_ D5	ADRA1D	eCorH
AGR2	0.692576569203866	20.7884110527555	19.4657332994771	12.4660054914413	21.035575845095	59.9789397133489	MAX_ D5	AGR2	eCorH
AGR3	0.873207768563026	2.78383060441035	3.33957335260557	1.53141718453609	2.30494867442081	19.6379732872744	MAX_ D5	AGR3	eCorH
AGTR1	0.792503747135409	3.34330257213222	1.54379192273096	0.501601114367636	0.523311703597475	7.12302900800621	MAX_ D5	AGTR1	eCorH
