Tau	D1	D3	D4	Tau_info	gene	names
3-Sep	0.533166245645189	2.88504204261735	4.02430772327396	7.40022513522013	MAX_ D4	3-Sep	eEmuF
4-Sep	0.664085054094899	106.33105524908	36.3198045838295	35.1165767602246	MAX_ D1	4-Sep	eEmuF
A0A0P0X004	0.754057257775807	15.7777049354823	6.45356891612556	1.30725511954784	MAX_ D1	A0A0P0X004	eEmuF
A1A5G4	0.643940242451018	11.8715720973087	4.18625624090408	4.26772192448192	MAX_ D1	A1A5G4	eEmuF
A2ASA8	0.550058226120756	33.035285492579	14.404312261069	15.3235976492075	MAX_ D1	A2ASA8	eEmuF
A2RU54	0.616727057778764	2.97246618826967	6.53491494146082	12.4028858841835	MAX_ D4	A2RU54	eEmuF
A2VE67	0.592444533217992	13.8736646457853	6.76635119528529	4.54222454609484	MAX_ D1	A2VE67	eEmuF
A4IIY2	0.56199355269602	3.53093073988251	1.30474327320792	1.78839758489678	MAX_ D1	A4IIY2	eEmuF
A5PLA0	0.78642991549166	288.27291882689	65.7791808994804	57.3537623711693	MAX_ D1	A5PLA0	eEmuF
A5WWA0	0.79851711746171	0.798494559607649	0.477458902844263	3.16640661076861	MAX_ D4	A5WWA0	eEmuF
A6QPT6	0.70442594993033	3.39092482579907	1.40896650179296	0.595572266693486	MAX_ D1	A6QPT6	eEmuF
AADACL4L5	0.630342028858723	69.3755403023455	33.9108047999127	17.3796381500771	MAX_ D1	AADACL4L5	eEmuF
ABCC8	0.52748569949575	13.4314225519014	49.8923832925491	67.0072903368995	MAX_ D4	ABCC8	eEmuF
ABCC9	0.582977250175161	4.89271539538033	2.11488480892159	1.96586244766207	MAX_ D1	ABCC9	eEmuF
ABCG5	0.500111989521002	3.80048316226821	1.8575438199395	1.94208811375087	MAX_ D1	ABCG5	eEmuF
ABI3BP	0.861527651305877	19.6072214566417	2.6314572306753	2.79865878225864	MAX_ D1	ABI3BP	eEmuF
ABLIM3	0.618008480751434	10.162761097291	3.61694008819612	4.1472370144327	MAX_ D1	ABLIM3	eEmuF
ACAN	0.78170008988198	7.8047064946372	48.9748385542256	13.5776992142268	MAX_ D3	ACAN	eEmuF
