Tau	D1	D3	D4	Tau_info	gene	names
A0A173GP47	0.624839001446289	1.54749727326208	0.936765053926804	3.31092829047529	MAX_ D4	A0A173GP47	eEmuH
A1A5G4	0.856908530078096	0.793519689830855	0.973801649449676	6.17549508801989	MAX_ D4	A1A5G4	eEmuH
A8E7N9	0.598301114782773	1.46872901203914	4.58860363673601	2.217744919122	MAX_ D3	A8E7N9	eEmuH
AANAT	0.805077256639969	0	3.46335422794653	1.3501730146778	MAX_ D3	AANAT	eEmuH
ABCC4	0.73897762517289	0.770561561525269	3.34967411609408	0.978118223834283	MAX_ D3	ABCC4	eEmuH
ABCC9	0.742576711165335	1.67162013709334	2.21922789550647	7.55729609821507	MAX_ D4	ABCC9	eEmuH
ABRA	0.506684038547709	1.66352367737218	1.97101460127038	3.6837833788539	MAX_ D4	ABRA	eEmuH
ACAN	0.505732960524168	29.7631778337641	66.6025878905631	36.075750042431	MAX_ D3	ACAN	eEmuH
ADAM32	0.533086184875181	8.08719181938224	4.41111346354179	3.14092970852619	MAX_ D1	ADAM32	eEmuH
ADAMTS18	0.604626285407317	3.73812254925942	5.09763185010824	11.1739274428882	MAX_ D4	ADAMTS18	eEmuH
adap1	0.590794564745732	3.95334482681386	2.98238540678829	8.47463112176466	MAX_ D4	adap1	eEmuH
ADCYAP1R1	0.759622148001017	1.86143357593263	5.41569571386355	15.1368548085432	MAX_ D4	ADCYAP1R1	eEmuH
ADGRD1	0.553133535851443	3.47167511937973	5.53925657173474	10.0823539178349	MAX_ D4	ADGRD1	eEmuH
ADGRG5	0.522129371094493	0.687650207043068	2.84993882393719	3.70140872549814	MAX_ D4	ADGRG5	eEmuH
ADIG	0.50263512265089	1.20404843380315	3.1014037910285	1.88101019846676	MAX_ D3	ADIG	eEmuH
ADRA2A	0.50629643441358	62.0548941482216	23.311038072717	37.9624069334127	MAX_ D1	ADRA2A	eEmuH
ADRB3	0.619516783483419	2.02484486685533	4.05068610026456	1.0575912862	MAX_ D3	ADRB3	eEmuH
AFF3	0.526991662851273	2.58239571037005	2.36101714668674	5.22550288104377	MAX_ D4	AFF3	eEmuH
AGAP2	0.620893846763036	3.61880899616489	1.06119066329774	1.68263485237304	MAX_ D1	AGAP2	eEmuH
AGR3	0.675679361019262	1.20841198745708	1.72920681851824	4.52888045486028	MAX_ D4	AGR3	eEmuH
AK7	0.758750215867516	0.892044198669145	0.612363718000144	3.11794665864475	MAX_ D4	AK7	eEmuH
ALPI	0.51586536934665	3.27633028623518	1.02264396494484	2.14972594110487	MAX_ D1	ALPI	eEmuH
ALX1	0.917465347151157	7.71466161030399	0.576676488953989	0.69677734675149	MAX_ D1	ALX1	eEmuH
AMIGO3	0.519518671243825	2.17208862343084	3.37325264858381	1.06948120621283	MAX_ D3	AMIGO3	eEmuH
AMPH	0.502109120709149	10.7795376169584	4.82800447139061	5.90606245352183	MAX_ D1	AMPH	eEmuH
ANGPTL5	0.681920505124668	1.87185546884136	0.234644595389331	3.31127925277974	MAX_ D4	ANGPTL5	eEmuH
ANKRD1	0.514280080643293	3.22561641587237	6.18982457760656	9.69225331127953	MAX_ D4	ANKRD1	eEmuH
ANKRD35	0.713348656500324	1.21359768130933	8.53643647733299	17.0067825945029	MAX_ D4	ANKRD35	eEmuH
ANO1	0.777143081100629	0.397286553807771	1.27799049001717	3.75863817039802	MAX_ D4	ANO1	eEmuH
ANXA1	0.505360782211956	145.100263266994	208.07622172615	357.004127748401	MAX_ D4	ANXA1	eEmuH
AOAH	0.886972192469422	1.87067411514767	0.796783948147207	11.8000079872966	MAX_ D4	AOAH	eEmuH
APBB1IP	0.58367157486974	5.06622949359369	9.77881544439957	17.8285267614727	MAX_ D4	APBB1IP	eEmuH
APCDD1L	0.703395408143067	8.16227867092263	33.8768134593347	11.9337581881162	MAX_ D3	APCDD1L	eEmuH
AQP1	0.519519108637449	4.74382535989426	16.9972735172283	22.6243116718638	MAX_ D4	AQP1	eEmuH
AQP9	0.7641824914071	1.29516638354064	7.69001349955232	2.33171326547975	MAX_ D3	AQP9	eEmuH
ARHGAP20	0.544352582613407	10.6623992520659	31.4084955703098	17.9600005291539	MAX_ D3	ARHGAP20	eEmuH
ARL14EPL	0.705133736734918	3.0323405718411	3.91745976845291	11.7846651280791	MAX_ D4	ARL14EPL	eEmuH
ARTN	0.616620255872687	15.971100081502	23.9058950238165	52.0071752826828	MAX_ D4	ARTN	eEmuH
ASIC2	0.560108753193291	10.1908043373991	3.6467327911591	15.7283615314111	MAX_ D4	ASIC2	eEmuH
ASIC4	0.598192426141391	12.1182455282931	21.6884069911848	5.31088685967902	MAX_ D3	ASIC4	eEmuH
ASPN	0.790266780870041	30.9559951292911	19.708557492631	120.783328535401	MAX_ D4	ASPN	eEmuH
ATF3	0.511323876298069	3.26168070441992	7.21646158712047	3.79134424605592	MAX_ D3	ATF3	eEmuH
augustus_masked-3-processed-gene-217.7	0.762961957488762	1.87434981239302	13.4685997753476	4.51079123983838	MAX_ D3	augustus_masked-3-processed-gene-217.7	eEmuH
augustus_masked-5-processed-gene-14.16	0.661571751991095	3.44133603914768	0.922506833927918	1.40678381914939	MAX_ D1	augustus_masked-5-processed-gene-14.16	eEmuH
augustus_masked-8-processed-gene-55.13	0.600812237961366	1.20026806195448	3.80588376697421	1.83825638508072	MAX_ D3	augustus_masked-8-processed-gene-55.13	eEmuH
augustus_masked-Scaffold_228-processed-gene-0.0	0.819521278259026	1.42958883996078	0	3.96054677850764	MAX_ D4	augustus_masked-Scaffold_228-processed-gene-0.0	eEmuH
AVPR1A	0.804786886662001	2.05581624942555	4.04928807901076	15.6370241323535	MAX_ D4	AVPR1A	eEmuH
B3DH20	0.512592164797265	4.67597421437968	2.67468046489301	7.54055859218514	MAX_ D4	B3DH20	eEmuH
B3GALT5	0.53409665043432	1.36107319449182	2.37564719212403	4.01018836857393	MAX_ D4	B3GALT5	eEmuH
B3GAT2	0.704767686315429	7.54551964106833	1.61193348375171	2.84342895941824	MAX_ D1	B3GAT2	eEmuH
BAMBI	0.51061432261081	322.472162806292	422.135694596051	760.75771299104	MAX_ D4	BAMBI	eEmuH
BCHE	0.602716730240469	13.2269320594282	18.9709564291457	40.5225829268657	MAX_ D4	BCHE	eEmuH
BEND4	0.674840409208726	2.49466886043441	6.91628579399304	2.00312445670615	MAX_ D3	BEND4	eEmuH
BFSP2	0.622820111960447	4.6196514245418	1.00790519383145	2.47697402034943	MAX_ D1	BFSP2	eEmuH
BLEC2	0.603909452959034	4.58916955161915	1.65597538221487	1.97947797411428	MAX_ D1	BLEC2	eEmuH
BMF	0.503726842528872	1.49284498332187	4.0238555666532	2.50101803121965	MAX_ D3	BMF	eEmuH
BMP3	0.571928976604182	1.95969089208786	4.56016939650286	7.61539549777245	MAX_ D4	BMP3	eEmuH
BMPER	0.537527898490189	10.0479396133756	28.4781313637307	16.2927429043384	MAX_ D3	BMPER	eEmuH
C12orf75	0.726493987586605	3.69280437312697	0	6.75086507338899	MAX_ D4	C12orf75	eEmuH
C19H17orf78	0.644266621775673	0.854481397475444	3.77856669468884	1.83384319281974	MAX_ D3	C19H17orf78	eEmuH
C1QL2	0.932400573913992	0.42292513612421	1.70058077971561	15.70653804914	MAX_ D4	C1QL2	eEmuH
C1QTNF6	0.589958199270868	6.32799869612138	8.10300816855431	17.5969947929877	MAX_ D4	C1QTNF6	eEmuH
C1QTNF8	0.528979941654444	1.35218416965331	2.29926779169439	3.87611089660737	MAX_ D4	C1QTNF8	eEmuH
CA3A	0.641974199813765	5.58017086236267	6.66945793552289	17.1071872355479	MAX_ D4	CA3A	eEmuH
CA4	0.828605139264089	0.390707222347018	4.46314320819885	1.13921239488032	MAX_ D3	CA4	eEmuH
CACNA1I	0.554126291142519	1.22727482551481	1.96987065779895	3.5852590316507	MAX_ D4	CACNA1I	eEmuH
CACNG1	0.572993904836789	15.1371150283636	3.29395103201436	21.5817365011303	MAX_ D4	CACNG1	eEmuH
CATSPER3	0.672566720048256	1.66901924214721	5.24226937363829	1.76396766865471	MAX_ D3	CATSPER3	eEmuH
CBLN2	0.51629610828555	28.1014095252294	55.3381609473186	25.4331580958478	MAX_ D3	CBLN2	eEmuH
CBLN4	0.638162698531189	2.28144968796798	1.09057488059495	4.65958671877502	MAX_ D4	CBLN4	eEmuH
CCDC113	0.524860994086205	10.8550399968063	11.7494974199384	23.7872887043564	MAX_ D4	CCDC113	eEmuH
CCDC178	0.574906094908516	2.29754576485494	6.26042081229844	3.02498769637695	MAX_ D3	CCDC178	eEmuH
