Tau	D1	D3	D4	Tau_info	gene	names
ACAN	0.761644431369247	8.52885061848191	54.2049048583374	17.3112312216879	MAX_ D3	ACAN	eOstF
ADAMTSL2	0.589549373576697	5.89753535505161	13.5118879607068	5.19439040021556	MAX_ D3	ADAMTSL2	eOstF
ADCYAP1	0.806612318531492	43.2272235628491	11.09122893248	5.62799614980045	MAX_ D1	ADCYAP1	eOstF
ADCYAP1R1	0.535980145980434	8.19972587109133	2.63628666545133	4.97338453795719	MAX_ D1	ADCYAP1R1	eOstF
ADRA2A	0.521174347959214	16.9031258093604	6.63318807971651	9.55411239467237	MAX_ D1	ADRA2A	eOstF
AGAP2	0.514252748621451	10.6725960743901	5.21570942664497	5.152658989772	MAX_ D1	AGAP2	eOstF
AGR3	0.500167185173991	5.5782368325421	3.14192485908865	2.43444677646263	MAX_ D1	AGR3	eOstF
AGTR1	0.565087137284113	2.04648168536142	2.86325443893088	5.64450553799745	MAX_ D4	AGTR1	eOstF
ALB	0.723228871636207	9.32721098103841	2.22678045156989	2.93622496384844	MAX_ D1	ALB	eOstF
ALX1	0.722595894362483	5.00393541641758	0.46870361628032	2.30752084143811	MAX_ D1	ALX1	eOstF
ALX4	0.554608063426726	3.1065367559026	10.3125572638902	15.064365694444	MAX_ D4	ALX4	eOstF
ANGPTL5	0.538679188101033	8.97409471905293	14.067447885029	4.00511824028303	MAX_ D3	ANGPTL5	eOstF
ANK1	0.507182439709952	3.3347453890999	2.99886303478577	6.42591593140271	MAX_ D4	ANK1	eOstF
ANKRD1	0.634883968738519	0.72784020235946	2.17917099621898	3.98094160441911	MAX_ D4	ANKRD1	eOstF
APOD	0.52539346321801	6.46201919231787	3.29258000419786	2.84125309477161	MAX_ D1	APOD	eOstF
BANF1	0.54599126221316	1.81417845085677	5.29056326586169	2.98974545017381	MAX_ D3	BANF1	eOstF
BCL2A1	0.522034452566382	2.15836261970421	3.4477358567801	1.13743529268062	MAX_ D3	BCL2A1	eOstF
BNC1	0.633589877070368	8.75037734094629	3.38836419004666	3.02408948430694	MAX_ D1	BNC1	eOstF
BOLL	0.664514432810306	3.31741535294876	0.853021516282807	1.37286842629282	MAX_ D1	BOLL	eOstF
C11orf87	0.52719691323087	3.46514800711207	8.73035362630948	4.79032827909831	MAX_ D3	C11orf87	eOstF
CA13	0.513127098756282	7.0159423914526	7.51412293935889	14.9218258951098	MAX_ D4	CA13	eOstF
CACFD1	0.511666658700357	4.51650541606683	11.3374670573848	6.55642092394787	MAX_ D3	CACFD1	eOstF
CAMK1D	0.519046675061295	8.93581058363888	3.29092848970569	5.30448713274148	MAX_ D1	CAMK1D	eOstF
CATSPER3	0.643914490819098	2.47952245926769	4.13846352888321	0.46777132655025	MAX_ D3	CATSPER3	eOstF
CCK	0.660223605388909	14.3778813050534	22.8218662835724	54.7415126221536	MAX_ D4	CCK	eOstF
CCN2	0.523176078840795	57.0670503533827	189.607769841292	123.751990242571	MAX_ D3	CCN2	eOstF
CCN3	0.753779769081783	3.23744028658805	19.4773453238847	6.35399264005345	MAX_ D3	CCN3	eOstF
CDH2	0.520288122600799	18.7597014170157	20.448041486066	40.8659288525957	MAX_ D4	CDH2	eOstF
CDH7	0.605577695778779	3.84471940585062	4.36811838393231	10.4112238353242	MAX_ D4	CDH7	eOstF
CHAC1	0.723943619677657	1.97712861111337	4.17099691098407	0.325732008050501	MAX_ D3	CHAC1	eOstF
CHODL	0.587054607782153	35.0033940350869	17.0220053106983	11.8869752468513	MAX_ D1	CHODL	eOstF
CITED4	0.653045503443471	5.269325687907	1.79876896036881	1.85766352211151	MAX_ D1	CITED4	eOstF
CNGA3	0.689249202298609	1.77355373651353	2.30403494327648	6.56086598964787	MAX_ D4	CNGA3	eOstF
CNMD	0.519506018330702	65.8351396463478	201.440756626074	127.747002797129	MAX_ D3	CNMD	eOstF
COL9A1	0.640318876636338	75.4866854441981	305.571135349812	144.329653016062	MAX_ D3	COL9A1	eOstF
COLCA2	0.717523019248687	3.18794537536	0.759657496564705	1.0413848722989	MAX_ D1	COLCA2	eOstF
COLQ	0.503909110193337	14.6147695911523	8.23136379650049	6.26914430508773	MAX_ D1	COLQ	eOstF
CPEB2	0.536494581091912	1.46603411599881	1.69926555709504	3.41452283400544	MAX_ D4	CPEB2	eOstF
CPLX3	0.593032340026453	2.06385460157153	4.04351930340088	1.22730857635432	MAX_ D3	CPLX3	eOstF
CPZ	0.548704379189011	75.063890778902	31.5207644545405	36.2312459245652	MAX_ D1	CPZ	eOstF
