Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
5S_rRNA	0.529023771832525	1.53473732049935	1.36897326935091	3.18743915187687	1.61406485711882	1.48705683008813	MAX_ D3	5S_rRNA	eOstH
ABCC4	0.548162331091527	1.53297812639699	1.8291853522164	5.03316611012254	3.84431950779627	1.89021318329793	MAX_ D3	ABCC4	eOstH
ABCC9	0.505325433720983	4.084128073919	3.15351746085108	3.04113531816836	2.42935642667897	6.42247355428492	MAX_ D5	ABCC9	eOstH
ABHD2	0.598211396658046	3.29272565992695	3.5739894885327	8.61179359877743	3.25141652878338	3.72235041204482	MAX_ D3	ABHD2	eOstH
ABLIM2	0.617049350438762	3.55295703285325	2.97961276280788	2.7102543643158	3.6463656840562	8.41439351180159	MAX_ D5	ABLIM2	eOstH
ACAN	0.505965210666105	31.5410694157334	172.389696607553	183.683065274969	158.702804011188	0.349727794818878	MAX_ D3	ACAN	eOstH
ACBD7	0.727518016712279	21.3532381111169	31.0903316929593	15.7153515686113	64.9757771436886	2.65999311440535	MAX_ D4	ACBD7	eOstH
ACTC1	0.541425987710967	786.241638647392	425.278924985192	286.997657532515	238.321533233059	491.601815702189	MAX_ D1	ACTC1	eOstH
ADAM19	0.535195414913959	17.6199777132921	9.8349735760175	6.66729393046629	6.10891463290428	10.14820358162	MAX_ D1	ADAM19	eOstH
ADCYAP1R1	0.58388296006174	1.65782739045439	4.01086852334899	5.43614032906312	1.91132802701237	1.46825854885923	MAX_ D3	ADCYAP1R1	eOstH
ADORA2B	0.636887427409511	0.567120482571329	2.00914549888497	1.69147215280927	1.48003571753839	3.95729471083764	MAX_ D5	ADORA2B	eOstH
ADRA2A	0.656250275602426	37.1958967703324	11.348352540865	11.4894545242501	10.6170347188112	17.6894752701632	MAX_ D1	ADRA2A	eOstH
AFF3	0.502786816404633	1.12483917700959	2.21476797129848	3.65174901750081	3.17190938105077	0.75127448937249	MAX_ D3	AFF3	eOstH
AGAP2	0.552391339981904	10.9525101321635	7.44451650249894	3.90687211026183	4.38546859257414	3.87289633103439	MAX_ D1	AGAP2	eOstH
AGO3	0.672069478518667	0.722476121819746	1.25781310093312	3.01692895873567	1.34498259830156	0.632100525786863	MAX_ D3	AGO3	eOstH
AGR3	0.607245911557331	7.24203942843621	2.23027664387666	3.2596442858873	3.63509153682157	2.25234991013979	MAX_ D1	AGR3	eOstH
AGRP	0.893442902011841	0	0	5.1062282461634	2.17641945430536	0	MAX_ D3	AGRP	eOstH
AK5	0.826526286568519	2.04744971018326	0.984935969219316	0.770902628314295	1.64655756035493	7.85399378422885	MAX_ D5	AK5	eOstH
ALB	0.820487244773065	4.02757622519551	2.83308202825979	3.42506606251071	3.079995546514	18.6138860238419	MAX_ D5	ALB	eOstH
ALCAM	0.515771465360582	10.1826214081488	7.66128457891482	16.2399551244811	13.8285201815944	24.7364508004558	MAX_ D5	ALCAM	eOstH
ALDH1A3	0.511922364318979	134.004008068004	116.658225437118	75.2681463208519	32.7699611309104	36.9211048295673	MAX_ D1	ALDH1A3	eOstH
ALX1	0.627617836953495	13.6209771741557	5.46826577495173	10.2181375817943	4.22212108426238	0.380311330668288	MAX_ D1	ALX1	eOstH
ALX4	0.514712908504442	2.77358660226063	11.9280559056482	7.88744029371912	4.536581754711	7.95651757990298	MAX_ D2	ALX4	eOstH
AMIGO2	0.632052681175876	1.01771469505192	1.301800311991	1.31125538913558	3.28862772094898	1.20939661395697	MAX_ D4	AMIGO2	eOstH
AMMECR1	0.546066718118971	2.78788682901541	2.95606993258072	5.80928267146285	2.70892788003907	2.09522235209169	MAX_ D3	AMMECR1	eOstH
ANGPTL7	0.509884636711918	1.52961447113517	3.03626936193622	4.19109169733255	2.81807962770377	0.832510258472063	MAX_ D3	ANGPTL7	eOstH
ANKRD1	0.580429890108193	10.4303859063593	4.33481578137987	1.94355019884834	4.25850239138478	6.9682442721675	MAX_ D1	ANKRD1	eOstH
ANKRD29	0.662666477891286	1.98368565934177	1.44431666200242	4.08007783745434	1.70374658614044	0.373639202060073	MAX_ D3	ANKRD29	eOstH
ANO1	0.586562400187998	1.67452120805809	5.89086615770709	3.50371254755865	4.21620640899797	0.347582095609968	MAX_ D2	ANO1	eOstH
ANO6	0.507350976283026	23.4596137508797	19.0105919305895	18.6122920499526	15.2153260280518	38.718144199199	MAX_ D5	ANO6	eOstH
AOAH	0.695997728357985	9.02029698269484	13.4344282907867	11.2756650198581	9.41724007802341	35.4829835138309	MAX_ D5	AOAH	eOstH
APCDD1L	0.536201574557488	33.9082838521665	68.3228177828312	42.9830299575496	30.0750013681886	19.7857460599863	MAX_ D2	APCDD1L	eOstH
ARHGAP20	0.534456263629325	5.95031973433306	12.5812429585851	24.3096422323824	26.364201197873	6.25355000304353	MAX_ D4	ARHGAP20	eOstH
ARHGAP42	0.584653646336492	2.53282537423345	3.81333060659015	8.95933638287351	5.43514108133133	3.10361372933034	MAX_ D3	ARHGAP42	eOstH
ARL14EPL	0.74227240023476	50.855328005242	31.6159184174868	24.6562911901521	17.0675979227138	120.471318990207	MAX_ D5	ARL14EPL	eOstH
ASB12	0.626052708510808	5.01430471758046	2.51917748766635	1.10187972259006	0.846307624819069	3.03297783628729	MAX_ D1	ASB12	eOstH
ASCL3	0.535968070608974	3.48900927412023	1.25840696825797	1.15047735175904	3.52406482865096	0.643220812814595	MAX_ D4	ASCL3	eOstH
ASIC4	0.557299173068427	2.28179868010183	3.23817258441976	7.29887240511699	4.6866534455851	2.71824268754662	MAX_ D3	ASIC4	eOstH
ASIP	0.858427047812999	0.487023309705127	0	0.383649013700628	3.30562154861725	7.37480890153829	MAX_ D5	ASIP	eOstH
ASPN	0.523147856436069	2.37273590968996	1.19993334736349	4.05156311156337	3.37189276191806	0.783424199162663	MAX_ D3	ASPN	eOstH
ATP1A2	0.60559396828277	3.49817318836958	5.22883097765847	5.09160328023566	9.23296267397692	0.747537230682443	MAX_ D4	ATP1A2	eOstH
ATRNL1	0.557621785258611	1.12212951653376	1.97166979304759	3.94226917960087	2.44012463757941	1.44197205964658	MAX_ D3	ATRNL1	eOstH
B3GALT5	0.672172994938119	13.9034043310494	5.2858917155087	3.9754604570068	3.60004927487496	5.3702441606588	MAX_ D1	B3GALT5	eOstH
B3GAT1	0.549437611921255	4.50058136520987	5.88167892209807	10.6716141203194	5.90095258833087	2.94969889518507	MAX_ D3	B3GAT1	eOstH
BANF1	0.651022015575167	1.33797612556353	3.63150607194391	1.74867908356097	1.98260746852961	0	MAX_ D2	BANF1	eOstH
BATF3	0.587481201617023	6.41031662081696	13.0322922515914	7.13657123462939	5.12090934163262	2.83646496213011	MAX_ D2	BATF3	eOstH
