Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
ABHD15	0.553946334419986	4.69551530315184	3.04165167398882	4.58946266640761	3.26600149179003	8.73921253122248	MAX_ D5	ABHD15	eTurH
ABLIM3	0.59393946074525	5.97085667050809	3.41412362485792	2.21456611120784	1.64385910816914	2.42556827352244	MAX_ D1	ABLIM3	eTurH
ACP5	0.73541733130774	3.88339942783494	1.36497842291705	1.45311699846243	3.6372436603041	9.76891132043843	MAX_ D5	ACP5	eTurH
ACTC1	0.506751983910039	102.170126440909	121.048042573732	80.2329893121865	26.83033693711	29.5933747140602	MAX_ D2	ACTC1	eTurH
ADAM22	0.683424251254168	13.3830735465719	3.83831277579876	3.69081773068247	3.81661800491307	5.60127760271185	MAX_ D1	ADAM22	eTurH
ADAP1	0.5924215712158	1.3879770880984	2.45724300622366	1.68089897572883	3.95671340286693	5.81656915774772	MAX_ D5	ADAP1	eTurH
ADGRB2	0.549642268149979	21.5857155852033	13.0705320479663	9.33007438147476	6.61870381559741	9.86586540020876	MAX_ D1	ADGRB2	eTurH
ADGRG6	0.578587025563033	2.43101781883234	2.02757251813225	4.64808576696835	10.1382125832943	7.98282117686841	MAX_ D4	ADGRG6	eTurH
ADRA1D	0.739143285248661	3.12947272092615	0.991505611814769	0.898040553846759	1.05377726059751	0.322052465279885	MAX_ D1	ADRA1D	eTurH
AJAP1	0.580262689336548	2.09500496613417	4.13144817658695	2.52145918032682	1.68033248408035	0.639695156602772	MAX_ D2	AJAP1	eTurH
ALKAL2	0.544124099790266	8.71539611310196	4.46307712948033	4.33546771996784	3.62366287561073	3.47034846992018	MAX_ D1	ALKAL2	eTurH
ALX1	0.80252753750243	21.5629186751737	6.40370740535549	6.37243733795149	2.18979111994063	2.06639473443794	MAX_ D1	ALX1	eTurH
ANK2	0.574511206830123	17.7795185278819	16.2999594440073	15.4316434540677	14.3513845356982	37.5230246876079	MAX_ D5	ANK2	eTurH
ANO1	0.682951906330166	0.416244097083618	1.10592412792875	1.8882038067178	3.43104271417144	0.940850175581141	MAX_ D4	ANO1	eTurH
APOD	0.504949739036872	3.43894598464441	2.91524444132652	1.15353408197081	1.78663100570026	0.954394899547681	MAX_ D1	APOD	eTurH
AQP5	0.578720741765622	6.90628917487953	7.31549084652866	3.13414886662683	0.928251240924812	1.35876894735273	MAX_ D2	AQP5	eTurH
AR	0.577198673301292	3.505501524112	6.23874596513516	10.7468546650454	5.56901910184316	2.86187104978727	MAX_ D3	AR	eTurH
ARHGAP15	0.661891992802284	0.438580090692333	2.14299888841446	3.43806088861976	7.28285216427116	3.82992266018262	MAX_ D4	ARHGAP15	eTurH
ARHGEF26	0.539132075167301	1.87360606769438	2.28538507041721	3.27867096532446	3.74432548860895	6.06572240631858	MAX_ D5	ARHGEF26	eTurH
ASB12	0.569601984845712	2.50281745938415	3.76586736439861	2.87009797124983	0.310589625270499	0.799782299981403	MAX_ D2	ASB12	eTurH
ASPN	0.540189369116528	5.07336753503924	2.74047706027399	3.86754140454962	8.67568351969831	11.068181199099	MAX_ D5	ASPN	eTurH
ASTN2	0.664319808729133	12.88867583774	3.90017680552538	3.79408309429606	3.60981949515181	6.0018132867898	MAX_ D1	ASTN2	eTurH
BHLHE41	0.648489315800995	34.3526078685409	16.8243689022284	13.8735547690525	7.78563889289029	9.81767221939254	MAX_ D1	BHLHE41	eTurH
BPIFC	0.705579739936024	0.0927682365232438	0.529671559235655	0.722818934172153	3.06335012311231	2.2623906297239	MAX_ D4	BPIFC	eTurH
C11orf87	0.545465854052706	5.36231681158388	8.15206599569617	14.5120398528833	16.5997878194754	24.5450264174506	MAX_ D5	C11orf87	eTurH
C17orf67	0.589194126078421	0.540915646520301	1.54587285846576	1.56870183215511	3.2025108683387	1.60695076690377	MAX_ D4	C17orf67	eTurH
C1orf146	0.563833659541057	1.12651991378274	2.69235429942685	3.98849342065246	1.78124882062284	5.49596310228545	MAX_ D5	C1orf146	eTurH
C1QTNF12	0.57216577149354	31.92197828696	24.1428644402972	46.6530591692091	62.1240683197088	96.3235052461949	MAX_ D5	C1QTNF12	eTurH
C7	0.72448604820693	0.619065997378873	0.196542960772577	0.22497154796938	2.87337075863408	3.55150005950929	MAX_ D5	C7	eTurH
CACNA1S	0.511663892954187	5.37063875754482	4.77021336870969	3.12740908509772	1.1936289729949	1.39945586603288	MAX_ D1	CACNA1S	eTurH
CACNA2D3	0.576126509323267	8.01460683433289	7.9055581230212	12.7753809204348	27.5643024515916	18.0395625151126	MAX_ D4	CACNA2D3	eTurH
CACNG3	0.582276650645553	14.7015595788319	7.209341986425	7.12181189451019	5.10224075333237	5.13134419774691	MAX_ D1	CACNG3	eTurH
CAMK1G	0.545701715969624	4.42043484135962	3.20069770245947	2.20222557914851	1.60530936070514	1.02455121007793	MAX_ D1	CAMK1G	eTurH
CASQ1	0.607790143752271	4.1956741189738	3.81817808260344	2.32253268560115	0.0850775722271456	0.356550631828397	MAX_ D1	CASQ1	eTurH
CASQ2	0.503524821032102	5.35270010267031	4.69730451295259	3.79526304570737	1.00256848015056	1.13479492692839	MAX_ D1	CASQ2	eTurH
CAV3	0.576838927261106	7.26809222211103	8.61712680072892	4.70252098016789	1.37233241138477	1.2427848700304	MAX_ D2	CAV3	eTurH
CBLN2	0.803330510927571	19.8604024895178	5.22800416452524	6.27787535368278	13.9800682103633	57.6428382866612	MAX_ D5	CBLN2	eTurH
CCBE1	0.559916826486067	1.1743149092583	0.608177856462634	1.65286715253725	1.9663033373452	3.06854680018365	MAX_ D5	CCBE1	eTurH
CCK	0.610030646216884	19.7527833764038	12.1726006661517	11.4801519121272	4.91899501222607	2.2401730843513	MAX_ D1	CCK	eTurH
CDH13	0.518939794889484	9.95756029407172	5.18126080432	5.25389714198087	3.38158090446079	5.34400513910422	MAX_ D1	CDH13	eTurH
CDH4	0.561988347673744	10.4617872278953	9.09940190373889	10.5694482315323	11.7422325434337	23.8994040935987	MAX_ D5	CDH4	eTurH
CDH6	0.551955570470576	2.9647731977857	3.8965841878558	4.39294215994207	3.58950760622179	8.28255312056643	MAX_ D5	CDH6	eTurH
CDH9	0.606979456190085	3.93134092421663	2.18490497309566	1.36146954287878	1.38354485934062	1.25047161643612	MAX_ D1	CDH9	eTurH
CHODL	0.642911740236245	1.33354565629568	1.11870502884134	1.15846299825039	1.25113122286436	3.40381178414288	MAX_ D5	CHODL	eTurH
CHRNG	0.594231445605405	23.4289623991077	15.6277122600397	11.1880129249486	5.28558930099767	5.92563032861907	MAX_ D1	CHRNG	eTurH
CILP	0.557372255783731	7.64682001558289	10.320191930475	4.00027136001805	1.45552367540223	5.16939804525718	MAX_ D2	CILP	eTurH
CLEC3B	0.76565172088841	10.1045650287544	2.68339072611418	1.08496891862935	0.462971625069266	5.24061843282621	MAX_ D1	CLEC3B	eTurH
CLMN	0.57725179537318	1.77450482974887	1.89513077663075	3.44815822532081	6.00121846264694	3.03022349092884	MAX_ D4	CLMN	eTurH
CLVS2	0.550214432104969	2.16275348415428	3.67338645385349	1.09149527420095	2.37432034202106	0.980375748601328	MAX_ D2	CLVS2	eTurH
