Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
ABRA	0.516552380672827	4.08802661820051	2.76510491453857	5.23248666636248	2.41604599962006	0.849355355697335	MAX_ D3	ABRA	lCorF
ACE	0.634634340988826	8.71888879406809	5.99862541955791	3.6940503375898	1.65207722112768	1.39757722208393	MAX_ D1	ACE	lCorF
ACTA1	0.50715966396971	102.46584654965	153.238760833667	205.12828030694	88.2557884685185	60.4215665313156	MAX_ D3	ACTA1	lCorF
ADAMTS20	0.676062633702789	4.45732844079566	2.41283167858008	1.26529785176221	1.29761459174422	0.799836821245491	MAX_ D1	ADAMTS20	lCorF
ADGRB3	0.517154745455045	1.01635392257184	1.55108667897151	1.91585774800327	3.61107167067066	2.49105693047358	MAX_ D4	ADGRB3	lCorF
ADGRG6	0.574949048905059	81.3616660761143	42.4283297567969	30.1296323042491	35.1343884163228	30.6390637159166	MAX_ D1	ADGRG6	lCorF
ALDH1A1	0.561359860190087	1.89968181342281	3.52104212687674	2.3440569004641	7.22317126569963	8.54228258325743	MAX_ D5	ALDH1A1	lCorF
ALX4	0.604685728113898	22.7838406013615	9.36046229151615	9.73923146986343	9.18343243351229	7.74398323749306	MAX_ D1	ALX4	lCorF
AMBN	0.72016438545008	5.63968252746654	4.08499653245844	1.2675705644854	0.45721633303847	0.502952673777877	MAX_ D1	AMBN	lCorF
AMELX	0.754259098451326	13.2250031123481	4.97549489184052	2.53601245950928	2.40974443402698	3.078444965873	MAX_ D1	AMELX	lCorF
AMTN	0.719428759384017	20.4701487069092	10.1174992271127	6.63796899912537	3.27040545410258	2.94746639282403	MAX_ D1	AMTN	lCorF
AOC1	0.503474559021563	0.637378759065847	2.06080304269902	2.22598420051669	2.11822627556664	3.54583657585132	MAX_ D5	AOC1	lCorF
AP1S3	0.579466121259751	12.4180247164087	6.07145774455273	2.71279318924544	6.51895652974963	5.58559293758672	MAX_ D1	AP1S3	lCorF
APELA	0.541479407084639	11.5003875462565	7.53792508713011	6.24940349799759	6.42725148933689	0.878077991399242	MAX_ D1	APELA	lCorF
APOA1	0.593179759580527	1.01313228040881	1.95980937421199	4.54491509085334	2.3922491409986	2.03066300416878	MAX_ D3	APOA1	lCorF
AQP1	0.663165041131427	64.6071700017318	35.6503371910597	23.2145958988259	15.7890630567835	12.3938176539239	MAX_ D1	AQP1	lCorF
ARR3	0.592783778310291	1.68235613758871	2.15640237657482	4.24311742207817	1.92279340927928	1.149913055775	MAX_ D3	ARR3	lCorF
ASIP	0.784860947503464	43.1270211096128	29.3111350200847	29.210092631508	24.721077466329	146.846103439971	MAX_ D5	ASIP	lCorF
ASPG	0.563750107285513	3.9561919723941	1.62373510165776	1.4029452149721	1.49819870355607	2.37867427387344	MAX_ D1	ASPG	lCorF
ASPN	0.576643893652093	14.5764978894356	13.8744785204743	11.1067941499065	33.1392046298544	16.5609679984303	MAX_ D4	ASPN	lCorF
BDKRB2	0.587964302651937	3.78858541151617	1.55900694042251	1.58843786356886	1.57667634509784	1.52000857889785	MAX_ D1	BDKRB2	lCorF
BEGAIN	0.558972215759743	10.611576940977	7.56365878022828	6.09670415297021	10.6818796814134	19.8138421232364	MAX_ D5	BEGAIN	lCorF
BGLAP	0.556599781962194	7.17967226358419	16.8947783923853	10.6011939952717	11.3283335307439	0.855393901936442	MAX_ D2	BGLAP	lCorF
BMP5	0.57412697909804	56.5823118146248	33.3211403751435	20.4494690175653	20.0033323305644	22.6135785251705	MAX_ D1	BMP5	lCorF
