Tau	D1	D3	D4	Tau_info	gene	names
3-Mar	0.507077365939395	14.5383068552223	7.43138301667359	6.90113800304146	MAX_ D1	3-Mar	lEmuF
A0A0C5PRQ1	0.59633796043475	3.37764351524796	3.78490123200413	8.87195728754463	MAX_ D4	A0A0C5PRQ1	lEmuF
A1A5G4	0.708895241089631	1.18301291331218	0.924672288935176	3.62014899745475	MAX_ D4	A1A5G4	lEmuF
A1L2K1	0.565249425089435	98.8678949034518	50.1877643984658	35.7779839004801	MAX_ D1	A1L2K1	lEmuF
A5D7R1	0.529853389127387	81.5477964789091	155.341608822544	64.5188653519274	MAX_ D3	A5D7R1	lEmuF
A6H6E9	1	0	3.3160661396296	0	MAX_ D3	A6H6E9	lEmuF
A8E7N9	0.566470991746559	22.192735686767	11.8990553751132	7.3433340103165	MAX_ D1	A8E7N9	lEmuF
ABCB5	0.573616881414845	5.61042156163252	1.59910918333044	3.1852689007221	MAX_ D1	ABCB5	lEmuF
ABCC8	0.596134249761254	6.82235292712058	20.7607907239138	9.94679171540553	MAX_ D3	ABCC8	lEmuF
ABHD3	0.606304033893223	3.96218238502086	1.45590679866025	1.66388364526383	MAX_ D1	ABHD3	lEmuF
ACE	0.740001001134038	48.708781376298	18.3070119187332	7.02145686890379	MAX_ D1	ACE	lEmuF
ADAMTS15	0.652194506306019	146.29021046123	62.2366166429623	39.5244611011666	MAX_ D1	ADAMTS15	lEmuF
ADAMTS2	0.568151503749522	21.1899753295434	10.2264788530532	8.07523911024289	MAX_ D1	ADAMTS2	lEmuF
ADAMTSL3	0.5266324955364	35.2058433172761	19.1063871249637	14.2242172623073	MAX_ D1	ADAMTSL3	lEmuF
adap1	0.699787989298298	21.8344075731123	6.09572663542536	7.01417616458367	MAX_ D1	adap1	lEmuF
ADCYAP1	0.675537316715959	17.6605306846948	54.3116301398793	17.5836638127365	MAX_ D3	ADCYAP1	lEmuF
ADGRG2	0.664954716110258	65.8267517354372	21.2587196326418	22.8511658128365	MAX_ D1	ADGRG2	lEmuF
ADIPOQ	0.844160859938872	20.6992236860062	4.27782772915295	2.17367070916734	MAX_ D1	ADIPOQ	lEmuF
ADRA2A	0.561955677153515	123.363044747453	36.7080806707041	71.3688821306532	MAX_ D1	ADRA2A	lEmuF
AK7	0.506742502277808	2.06258080380531	2.05211502196991	4.17094098394492	MAX_ D4	AK7	lEmuF
ALX1	0.934825530803335	15.9868704591782	1.23382616766807	0.850045424917509	MAX_ D1	ALX1	lEmuF
ALX4	0.569036788185389	50.821061600997	39.096920813923	104.322109114966	MAX_ D4	ALX4	lEmuF
AMIGO2	0.513235531688571	31.2470475176874	17.5173615433069	12.9025433991912	MAX_ D1	AMIGO2	lEmuF
AMPH	0.519487095025197	2.41809672030786	2.75318570462309	5.38100264466583	MAX_ D4	AMPH	lEmuF
ANGPTL2	0.578585050745018	186.224512111254	86.6831679296458	70.27241871315	MAX_ D1	ANGPTL2	lEmuF
ANGPTL7	0.838665874722819	2.27099610865881	8.78531360895881	34.2652544792438	MAX_ D4	ANGPTL7	lEmuF
ANKRD1	0.502759774802951	11.4373618601041	4.85338599733835	6.52084677661825	MAX_ D1	ANKRD1	lEmuF
ANKRD37	0.50483143234955	5.14313418064954	9.04283362472178	14.3243823741509	MAX_ D4	ANKRD37	lEmuF
ANO2	0.707011169309135	2.12088048497115	5.51578700550234	13.0323525857049	MAX_ D4	ANO2	lEmuF
ANOS1	0.609354299777498	88.0510723195288	34.279958918239	34.51358668497	MAX_ D1	ANOS1	lEmuF
AQP1	0.689304845754799	46.8675256285886	77.0265157925444	199.381998284009	MAX_ D4	AQP1	lEmuF
ARHGAP36	0.590170227503119	6.6232180165882	2.09570590226554	3.33307796360563	MAX_ D1	ARHGAP36	lEmuF
ARSB	0.536484650848706	1.8853919904236	1.71188290722	3.88042694188044	MAX_ D4	ARSB	lEmuF
ARTN	0.580555815373866	61.5713643549607	93.9258877669222	185.361077613322	MAX_ D4	ARTN	lEmuF
ARX	0.717342929703436	6.87267545090549	2.88551123437466	0.999709381729461	MAX_ D1	ARX	lEmuF
ASB12	0.562312436777165	3.86601102389025	8.04594244454367	3.17720686087674	MAX_ D3	ASB12	lEmuF
ASB18	0.622528413488499	3.16605641671605	1.36493628909555	1.0252563881099	MAX_ D1	ASB18	lEmuF
ASCL3	0.588630499447511	3.04353114640167	0.4239461634252	2.0800856117972	MAX_ D1	ASCL3	lEmuF
ASIC2	0.642933373972567	42.1603430273354	54.9861861436835	136.03417694315	MAX_ D4	ASIC2	lEmuF
ATF5	0.557156215609108	7.67418860584658	2.85014909165869	3.94678435702643	MAX_ D1	ATF5	lEmuF
ATP1B4	0.610932851033709	17.125675002373	6.55899690493352	6.76707818965957	MAX_ D1	ATP1B4	lEmuF
ATP2C2	0.685568527365729	1.22195757877644	4.85924231953049	1.83383985805705	MAX_ D3	ATP2C2	lEmuF
ATP8B1	0.757567473665776	3.39600753871465	5.28564510223781	17.905296727766	MAX_ D4	ATP8B1	lEmuF
augustus_masked-1-processed-gene-161.12	0.700843553988404	0	4.7549415087463	7.94724895976666	MAX_ D4	augustus_masked-1-processed-gene-161.12	lEmuF
augustus_masked-5-processed-gene-14.16	0.812266220379188	0.896343230999395	3.68583687230792	0.487568943208841	MAX_ D3	augustus_masked-5-processed-gene-14.16	lEmuF
augustus_masked-6-processed-gene-24.10	0.529028298310584	4.07701659862949	1.11209066057915	2.7282282299659	MAX_ D1	augustus_masked-6-processed-gene-24.10	lEmuF
augustus_masked-8-processed-gene-38.34	0.640610271127858	0.832566188686368	5.02234392395111	2.77739145357651	MAX_ D3	augustus_masked-8-processed-gene-38.34	lEmuF
B3GALT5	0.589600517337489	4.98327751500556	2.43007330966604	1.66019571857797	MAX_ D1	B3GALT5	lEmuF
B3GNT7	0.522527612234206	37.1279326758113	22.0277167383388	13.4274085967157	MAX_ D1	B3GNT7	lEmuF
B4GALNT3	0.529400409849702	7.12959256097654	3.08752968475994	3.6228369895084	MAX_ D1	B4GALNT3	lEmuF
BARX1	0.884295998910787	126.897691592941	19.6887913981924	9.67634989438414	MAX_ D1	BARX1	lEmuF
BATF3	0.678335716458089	3.86783343856571	10.2952421025173	2.75538991102778	MAX_ D3	BATF3	lEmuF
BAZ1A	0.591222843192414	53.5229255448006	104.072796591705	192.764834717375	MAX_ D4	BAZ1A	lEmuF
BBOX1	0.54649379405722	37.4776491901944	14.6057902077347	19.3869027760644	MAX_ D1	BBOX1	lEmuF
BCL2L14	0.794216533620625	8.01246774255444	1.92986936693412	1.36779740569743	MAX_ D1	BCL2L14	lEmuF
BEGAIN	0.766525882052654	3.52971661610062	9.63299568221056	28.1888039968518	MAX_ D4	BEGAIN	lEmuF
BEST3	0.557470977455851	2.63128383560334	2.24767596898305	5.51258737397234	MAX_ D4	BEST3	lEmuF
BGLAP	0.728429166263443	2.53921794854312	10.6919762495805	3.26803986023696	MAX_ D3	BGLAP	lEmuF
BMP4	0.500241947059915	33.4525487011653	64.3624453346046	30.878752024604	MAX_ D3	BMP4	lEmuF
BNC1	0.577740341297497	21.2680039420168	14.1817722780175	3.77946789366149	MAX_ D1	BNC1	lEmuF
BOLL	0.534280240501308	5.75240682490994	2.72495371006865	2.63306533600273	MAX_ D1	BOLL	lEmuF
C1QL4	0.511064955238948	3.78090473126326	2.54459306182744	1.15264058620751	MAX_ D1	C1QL4	lEmuF
C1QTNF3	0.670883716231872	175.002272652037	64.6756345903798	50.5165606620504	MAX_ D1	C1QTNF3	lEmuF
C1QTNF6	0.53895240221746	39.3979065013431	15.7750618859333	20.5535584142774	MAX_ D1	C1QTNF6	lEmuF
CA3A	0.518977294414737	1.4175662033584	1.78370192877462	3.32756447352939	MAX_ D4	CA3A	lEmuF
CA8	0.698593257940106	18.3937304033633	6.48708252084708	4.60090618956442	MAX_ D1	CA8	lEmuF
CABP7	0.531430771342632	52.4331430889623	37.6668054891359	11.470309337417	MAX_ D1	CABP7	lEmuF
CACNA1E	0.510288550687161	11.4208223402584	11.9488323088259	23.8606374037982	MAX_ D4	CACNA1E	lEmuF
CACNA2D2	0.513675620655878	78.8107015727005	89.4710518268519	173.013898281744	MAX_ D4	CACNA2D2	lEmuF
CACNG1	0.564178049529515	11.622627408612	12.1101662756009	27.2276254770928	MAX_ D4	CACNG1	lEmuF
CADM2	0.572831744988192	9.09444107383985	11.3594718463016	23.9412838854049	MAX_ D4	CADM2	lEmuF
CALB1	0.713410262692844	11.7429814276635	3.50192764086753	3.22890828424626	MAX_ D1	CALB1	lEmuF
CALCB	0.502478813402826	6.8443814206495	9.24500099879632	2.3547863133769	MAX_ D3	CALCB	lEmuF
CALCR	0.519991633548955	4.01820410438817	2.69630079480153	1.16124238162697	MAX_ D1	CALCR	lEmuF
CATSPER2	0.559343868214174	2.09296971860197	5.24582350861879	2.53023887207624	MAX_ D3	CATSPER2	lEmuF
CBLN2	0.586608354478207	6.65241274901158	14.1723403634571	5.06504145847732	MAX_ D3	CBLN2	lEmuF
CBLN4	0.665371958002692	4.2189832960571	0.984442139214905	1.83913809994297	MAX_ D1	CBLN4	lEmuF
CCK	0.645628630314474	4.41135447247192	10.8411909033086	3.27226086638354	MAX_ D3	CCK	lEmuF
CCKAR	0.852277996760138	0.698229769445353	0.743853380300888	4.88107092416245	MAX_ D4	CCKAR	lEmuF
CCLI5	0.545243780462622	43.6679513629277	17.8324803060362	21.884064647458	MAX_ D1	CCLI5	lEmuF
