Tau	D1	D3	D4	Tau_info	gene	names
A0A0C5PRQ1	0.89774684931409	0	0.839133657632979	4.10321663442203	MAX_ D4	A0A0C5PRQ1	lEmuH
A1A5G4	0.625330162241446	0	11.4654704566968	8.59153191167218	MAX_ D3	A1A5G4	lEmuH
A4IIY2	0.779426104467857	0.833777407641016	1.54235226593225	5.38624406990854	MAX_ D4	A4IIY2	lEmuH
A6H6E9	1	0	4.89298327982035	0	MAX_ D3	A6H6E9	lEmuH
A7WLH8	0.515430128753658	142.642482321308	134.351124622014	285.813897416773	MAX_ D4	A7WLH8	lEmuH
A7YY54	1	0	0	11.7333015286022	MAX_ D4	A7YY54	lEmuH
A8E7N9	0.662910634411016	9.59284242346568	2.90359316760502	3.56369716583726	MAX_ D1	A8E7N9	lEmuH
AANAT	0.956166414703034	0	5.84037025712553	0.512008735663149	MAX_ D3	AANAT	lEmuH
ACAN	0.639838377806033	7.52141527660901	27.3074958297571	12.1488087155916	MAX_ D3	ACAN	lEmuH
ADIPOQ	0.722816438222086	2.23098857963562	1.18514006841021	6.16221363585571	MAX_ D4	ADIPOQ	lEmuH
ADRB1	0.654274980840363	1.31771958575632	5.31929633083924	2.36030806603405	MAX_ D3	ADRB1	lEmuH
ADTRP	0.741207125918408	3.11988178157743	0.726586347154243	0.8882199989442	MAX_ D1	ADTRP	lEmuH
AGR3	0.860490360044447	0.72236920433758	7.77653896118768	1.44743509681366	MAX_ D3	AGR3	lEmuH
ALX1	0.596457053262018	4.5771814617375	18.9631431992777	10.7277039103642	MAX_ D3	ALX1	lEmuH
ALX4	0.551729395088495	11.7248402875732	39.8052749068767	23.9622290347755	MAX_ D3	ALX4	lEmuH
ANGPT1	0.507842667650993	21.3158247452427	9.4441305492533	11.5373483376219	MAX_ D1	ANGPT1	lEmuH
ANKRD35	0.78046115681141	2.37737470535513	2.3992131337957	10.87868499664	MAX_ D4	ANKRD35	lEmuH
