Tau	D1	D3	D4	Tau_info	gene	names
5S_rRNA	0.535335628178259	1.54767962995459	7.78454047837182	5.68671759265253	MAX_ D3	5S_rRNA	lOstF
ACAN	0.544888277981583	26.1715663365186	49.0986649951406	18.519189612969	MAX_ D3	ACAN	lOstF
ACKR4	0.531899557889752	1.7353596106153	4.32474471020656	6.47308117623458	MAX_ D4	ACKR4	lOstF
ADAMTSL2	0.649991370843379	3.74192792509677	13.1035939473323	5.43081398396477	MAX_ D3	ADAMTSL2	lOstF
AK5	0.652216339767741	1.6144288834562	3.73192555122814	0.981376572384625	MAX_ D3	AK5	lOstF
ANGPT1	0.516474677499251	3.0825811524992	5.76965352353169	2.49696600886728	MAX_ D3	ANGPT1	lOstF
APCDD1L	0.535362905569245	20.0922294345366	37.231770351836	14.5062937590438	MAX_ D3	APCDD1L	lOstF
APOLD1	0.568423041290155	3.5175257342007	7.50804077821794	2.96306907566489	MAX_ D3	APOLD1	lOstF
AQP3	0.514185511324697	28.7287365220872	15.5551699933045	12.3585028942261	MAX_ D1	AQP3	lOstF
ASCL4	0.724556285705975	1.00488868112146	2.32498981254826	6.04457157827027	MAX_ D4	ASCL4	lOstF
ASPN	0.547383876352916	16.0074788266387	38.6070072771629	18.9408291321698	MAX_ D3	ASPN	lOstF
BCL2L14	0.503356959240181	3.38101549975984	1.15952416883943	4.5712305377849	MAX_ D4	BCL2L14	lOstF
BRINP2	0.561692212591695	2.66181013657341	2.69656293736522	6.11256887040778	MAX_ D4	BRINP2	lOstF
C11orf87	0.528727628539518	14.3565957596145	29.0475521816112	13.0220218438855	MAX_ D3	C11orf87	lOstF
C4orf48	0.598356086454407	6.60810880166618	12.4420251260117	3.3864185264217	MAX_ D3	C4orf48	lOstF
C8orf34	0.555771565423136	6.03358678361558	13.2636095976998	5.75055827323413	MAX_ D3	C8orf34	lOstF
CALB1	0.683878993593056	5.75388219387464	0.436820853399866	3.20102520634943	MAX_ D1	CALB1	lOstF
CAMK1G	0.566868986280268	1.67206177170457	1.76058804324668	3.96259989035607	MAX_ D4	CAMK1G	lOstF
CATSPER3	0.748067437046189	1.08223071759881	4.41376213412339	1.14171009583757	MAX_ D3	CATSPER3	lOstF
CBLN4	0.53428425973202	1.36956820104439	5.10302613104002	6.94908264036768	MAX_ D4	CBLN4	lOstF
CCN3	0.676173903611281	51.5239123016988	194.913533583041	74.7122651253563	MAX_ D3	CCN3	lOstF
CCNA1	0.612783556030714	4.8858469252746	1.07058682861607	2.71317371575013	MAX_ D1	CCNA1	lOstF
CDH19	0.506046805009509	2.39611902837617	4.18253088978124	1.73582996393156	MAX_ D3	CDH19	lOstF
CFAP97D1	0.771071255902365	2.29828618418138	6.83094466527394	0.829312982261827	MAX_ D3	CFAP97D1	lOstF
CHADL	0.555767166033869	2.71404580497329	4.19270660632041	1.01103007045518	MAX_ D3	CHADL	lOstF
CHRDL1	0.566494223415611	16.4936459241946	43.6840594367652	21.3809382967924	MAX_ D3	CHRDL1	lOstF
CHRNB4	0.566108339332525	5.04168592646679	2.86678502128899	9.11341662523523	MAX_ D4	CHRNB4	lOstF
CLEC4D	0.50915644832225	2.53211191140189	3.77899814124894	1.1776818274666	MAX_ D3	CLEC4D	lOstF
CLIC3	0.540304785176436	3.81878603462376	2.84991909057995	0.661036242523242	MAX_ D1	CLIC3	lOstF
CLIC6	0.708638428388735	3.33932447285243	0.791419127477588	1.1544825255829	MAX_ D1	CLIC6	lOstF
CNRIP1	0.550665500186108	4.17706180936333	2.22894960603345	7.12833247619542	MAX_ D4	CNRIP1	lOstF
CPNE4	0.588427057610317	9.0872248946569	4.39628931310459	3.08382246299684	MAX_ D1	CPNE4	lOstF
CPZ	0.558846150184397	29.1277836528427	14.2920235972235	11.4076441928716	MAX_ D1	CPZ	lOstF
CRACD	0.514073084383419	2.2982721764268	4.56801056386455	2.14116639117852	MAX_ D3	CRACD	lOstF
CREB3L1	0.526106064388989	27.6560886007041	50.281330336104	82.2308675846634	MAX_ D4	CREB3L1	lOstF
CRHBP	0.536932006117248	12.7219805218752	19.3930540505782	5.23862474704687	MAX_ D3	CRHBP	lOstF
CRISPLD1	0.553518925444978	31.8030127141487	111.013115805068	67.3274977545471	MAX_ D3	CRISPLD1	lOstF
CYP24A1	0.522810789333531	4.27306897977353	1.09567197838506	2.98245284877795	MAX_ D1	CYP24A1	lOstF
CYSLTR1	0.547496667807424	2.87673915528638	6.05231401423123	2.60064536254454	MAX_ D3	CYSLTR1	lOstF
CYTL1	0.55679074852801	81.7941337868024	173.630277186096	72.1149565822452	MAX_ D3	CYTL1	lOstF
DACH1	0.54202579083819	3.02439344858868	4.20218739768733	0.824593451822474	MAX_ D3	DACH1	lOstF
DCC	0.62041354058475	0.703590240897209	3.30244913382742	1.80353970731981	MAX_ D3	DCC	lOstF
DLX5	0.550414282907309	207.719976636127	110.092956277708	76.6829130231522	MAX_ D1	DLX5	lOstF
DLX6	0.677573430892032	19.8642644211695	7.63749849350839	5.17203475683391	MAX_ D1	DLX6	lOstF
DNAJC6	0.586171970360742	1.38699301857541	2.08422303357216	4.19403206589643	MAX_ D4	DNAJC6	lOstF
DOK6	0.560841698576714	1.13967138940541	4.35127375554442	2.68212459361981	MAX_ D3	DOK6	lOstF
DUSP26	0.544263329146837	2.03365156808363	1.34550725549199	3.70735891984472	MAX_ D4	DUSP26	lOstF
ELF3	0.503018719519782	5.23028734305522	2.37504943817599	2.82366036388613	MAX_ D1	ELF3	lOstF
ELOVL4	0.608104834342818	1.7332731296599	4.62275053594411	1.88999404449139	MAX_ D3	ELOVL4	lOstF
ENSSCUG00000000069	0.559854306222467	1.05847055152067	1.76956352370735	3.21261131848926	MAX_ D4	ENSSCUG00000000069	lOstF
