Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
5S_rRNA	0.661383087868946	2.75691841316515	4.10373550918709	2.81013081478397	0	7.13991563229523	MAX_ D5	5S_rRNA	lOstH
ABLIM2	0.547508638098096	6.67526134651015	3.85842027143362	3.28761608069711	4.22286370652531	9.96934025951528	MAX_ D5	ABLIM2	lOstH
ACAN	0.881008544614589	10.0269671429432	31.1658820261227	119.504439941123	351.86338889981	6.77765785793564	MAX_ D4	ACAN	lOstH
ACBD7	0.817664948780712	1.58095324605824	4.04799085601292	6.48667515287827	17.2874153021343	0.492787763305613	MAX_ D4	ACBD7	lOstH
ACTC1	0.694026301119812	77.4866392151346	387.499610355808	287.593943428367	51.3419252101626	57.8362485271291	MAX_ D2	ACTC1	lOstH
ACTN2	0.690420969703702	2.11450611693705	17.1701931150826	14.7412630716065	2.81615391254005	1.59020383718614	MAX_ D2	ACTN2	lOstH
ACVR1C	0.679113509765877	3.52778006102229	1.36174307135045	0.865489436065886	0.813069033672571	1.48776630730854	MAX_ D1	ACVR1C	lOstH
ADA	0.619001391948047	27.1884872667687	17.1018463924489	13.6979791426292	7.30943195494631	42.8464457459967	MAX_ D5	ADA	lOstH
ADA2	0.512231452702022	1.38109810407358	4.50250971722072	3.08030681118776	2.92750638704353	1.39581919355025	MAX_ D2	ADA2	lOstH
ADAM33	0.598247146256039	21.2082306638849	31.0328329403766	37.0288324737827	65.6189132998852	16.1804466331815	MAX_ D4	ADAM33	lOstH
ADAMTS12	0.511016424403897	18.6082121678002	11.6339721208427	7.04642062472219	7.46955998463906	22.883265988761	MAX_ D5	ADAMTS12	lOstH
ADAMTS18	0.566693041587157	9.72637352060145	7.05031782605308	7.26793732670959	5.21697088315778	16.882719621965	MAX_ D5	ADAMTS18	lOstH
ADAMTS19	0.554316285637628	2.2421323842205	3.36570085355061	6.61383499322361	8.48098924848344	2.89768692793105	MAX_ D4	ADAMTS19	lOstH
ADAMTS3	0.528699988190664	41.1553762808755	87.0882706326991	95.5242517050976	144.695640319945	49.012329347526	MAX_ D4	ADAMTS3	lOstH
ADAMTSL2	0.638857703846884	4.37944208254336	6.47485168303312	6.99432329403455	15.0596693935899	3.90611727682044	MAX_ D4	ADAMTSL2	lOstH
ADCYAP1R1	0.520414740535265	1.83906834230871	4.82256630448132	7.07057692429014	4.5571352527926	2.34500797562158	MAX_ D3	ADCYAP1R1	lOstH
ADGRA1	0.507008020019759	1.08573574606267	5.24401583172908	4.26800798649361	3.62548068516973	1.36180657400139	MAX_ D2	ADGRA1	lOstH
ADGRG2	0.623391394751798	7.02637607106271	42.1035387268769	32.0353844241546	19.3979558399802	4.96650364857356	MAX_ D2	ADGRG2	lOstH
ADRA1D	0.659362733539728	3.45792753902285	3.05891565593494	1.84435469281789	1.00253368125103	6.87221605722255	MAX_ D5	ADRA1D	lOstH
AFAP1L2	0.527354569279349	6.47761733565159	10.8354420455674	9.8297302910952	19.6473927849777	10.0022120292602	MAX_ D4	AFAP1L2	lOstH
AFF3	0.791852133900837	0.9040833799252	1.95559231952063	2.24651546341657	6.96445257554136	0.692352605728609	MAX_ D4	AFF3	lOstH
AGR2	0.698726701603139	8.98361749987328	5.68000549969499	5.71402555532843	0.149637752873145	17.0337749951621	MAX_ D5	AGR2	lOstH
AK5	0.611616501688201	2.08904658327294	5.87606215270529	2.9592469511288	1.97768385537256	2.10268491088666	MAX_ D2	AK5	lOstH
AKR1D1	0.509503280169849	155.813768783529	340.962278495406	321.935727654875	85.7579143941268	105.456105918713	MAX_ D2	AKR1D1	lOstH
ALDH1A2	0.507548964138822	3.57193387640394	13.4240383892477	11.541989860814	7.63174048100728	3.69706222267578	MAX_ D2	ALDH1A2	lOstH
ALDOB	0.505463198810257	62.5984368863522	40.3093695679833	39.8402062222611	15.387429927723	79.9411905362158	MAX_ D5	ALDOB	lOstH
ALOX5AP	0.509441756755781	9.46571520099562	5.2285556933537	3.23417866307137	4.1972379071835	5.91396621659347	MAX_ D1	ALOX5AP	lOstH
ALPK3	0.561772996283364	3.48798918048901	8.25636641285734	6.49237712189142	2.10491689459833	2.38736766179381	MAX_ D2	ALPK3	lOstH
ALX1	0.512300528899701	10.1833816972152	1.30322630101759	6.58526865572167	4.03535932859528	7.94186518564274	MAX_ D1	ALX1	lOstH
AMPH	0.623689562781435	2.49222984994168	1.52326860575807	1.53183360384399	4.6544956988605	1.45880918633676	MAX_ D4	AMPH	lOstH
ANKRD22	0.648298671827193	22.0043947046983	11.4160265590416	14.370586076714	4.93088969917018	37.4763277931946	MAX_ D5	ANKRD22	lOstH
ANO1	0.539307157615517	0.688221749507943	5.65865184509784	7.23509751120942	5.43242038138372	1.55333657348236	MAX_ D3	ANO1	lOstH
ANO5	0.533838680640635	10.022195190882	31.6285976871111	36.6854899140408	49.2146182788335	13.4315227624802	MAX_ D4	ANO5	lOstH
ANO7	0.631415828390926	2.15879118488413	2.47472176403627	1.75592078384695	6.26056032438116	2.84074003111532	MAX_ D4	ANO7	lOstH
AOX1	0.537962317776475	1.60586815151235	2.18306156855316	2.03801581193203	3.86340487114429	1.3132089966208	MAX_ D4	AOX1	lOstH
APBB1IP	0.698098256050708	10.2902669704072	11.246588146928	21.6868157274279	43.2313589024794	8.98281973906195	MAX_ D4	APBB1IP	lOstH
APCDD1L	0.604825025997731	29.3560124619302	57.9850662512	81.981225387404	117.832332550996	16.9352517093321	MAX_ D4	APCDD1L	lOstH
APOBEC2	0.622234899492049	15.4758217027069	64.0315839394443	60.2900695923367	11.886006324878	9.1036933503482	MAX_ D2	APOBEC2	lOstH
APOD	0.563905662812491	1.9416466369103	6.30190011639493	4.84190032013273	2.34694421759611	1.86240064248539	MAX_ D2	APOD	lOstH
AQP5	0.738087931012597	3.1266386494269	0.34006352840517	0.404447672401991	0.384008753663764	4.06162898520579	MAX_ D5	AQP5	lOstH
ARHGEF38	0.688744614895758	1.75313919812147	1.33239243351588	1.01572493989897	0.250931773840722	3.49567313021705	MAX_ D5	ARHGEF38	lOstH
ARL14EPL	0.664247811889888	98.9472868277502	31.6619856538415	21.358036067629	30.8751080049738	136.143875623999	MAX_ D5	ARL14EPL	lOstH
ASB5	0.681973668091148	2.28341903955749	9.12177171784123	4.8939421732139	2.65854243492875	1.76795075203967	MAX_ D2	ASB5	lOstH
ASIC4	0.574310722208989	1.34575928514107	3.96320701688185	6.7259574101193	5.38655210331473	0.757153404129471	MAX_ D3	ASIC4	lOstH
ASIP	0.741106409787322	67.0551956938823	8.90367122644363	10.5384823070854	1.5503713414585	48.448116547424	MAX_ D1	ASIP	lOstH
ASPN	0.596628498080893	7.86564160382079	28.1738470283211	39.0743096773836	22.0552152098437	4.95114808208851	MAX_ D3	ASPN	lOstH
