Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
ABCC12	0.759985348048761	0.513872160814017	0.449579023445699	0.791681444372093	2.13618922599607	4.05321281741837	MAX_ D5	ABCC12	lTurF
ABHD8	0.698476270707655	0.821976307072956	0.855330208638618	1.57389204860495	3.43770682222504	0.895002160687592	MAX_ D4	ABHD8	lTurF
ADAMTS18	0.523499360444576	3.37461541813147	3.73561198778549	4.45886962580156	4.8779207123084	8.62906383471595	MAX_ D5	ADAMTS18	lTurF
ADPRHL1	0.543311867640703	4.29794712013311	7.13575844600223	9.53672231730276	5.21030613575246	0.777219913785095	MAX_ D3	ADPRHL1	lTurF
ALDH1A2	0.514274097923421	8.98570111149229	5.98781496529282	4.92622094540384	3.58463265544664	2.95968254653716	MAX_ D1	ALDH1A2	lTurF
ALKAL2	0.773861909079726	12.4547090687393	4.00219403734759	2.98881558876471	2.95873218510011	1.31619471587611	MAX_ D1	ALKAL2	lTurF
ALX1	0.595118380164467	14.930966457077	6.87029866195572	6.1119334600608	6.41063137218672	4.78823204520213	MAX_ D1	ALX1	lTurF
ALX4	0.564704212382096	15.0563239291864	10.5647454885546	8.96968741396484	5.14092231803267	1.54046231298987	MAX_ D1	ALX4	lTurF
ANGPTL7	0.540078026249771	10.3262971070711	18.3792915955578	23.4435377098861	25.576460351217	42.2493331477257	MAX_ D5	ANGPTL7	lTurF
ANKRD35	0.698425895657732	7.8003865343132	4.00769012559961	1.58088127756506	1.67117718511086	2.14982974216044	MAX_ D1	ANKRD35	lTurF
ANKRD61	0.51744031464085	2.87691707475535	1.4545745325321	0.52671269113867	4.40409751443298	3.64275534499706	MAX_ D4	ANKRD61	lTurF
APOD	0.568271713903482	2.0130847423577	1.4922197246434	1.0860693798988	2.94440643176089	4.36372860045593	MAX_ D5	APOD	lTurF
AQP3	0.510450564508292	3.16968613807882	1.48803038816055	1.00554568272381	1.53403268471424	2.17926348273091	MAX_ D1	AQP3	lTurF
AQP5	0.630654276646513	5.51787088259315	8.89249503530139	3.78795151530359	1.89586436514291	1.93593328188307	MAX_ D2	AQP5	lTurF
AQP8	0.528637376498867	1.11538166388145	3.31135328194445	1.79430837120726	2.1842650050723	1.14943764110468	MAX_ D2	AQP8	lTurF
ARHGAP15	0.57037469469971	1.8198674804105	1.77328299927763	4.30675235762963	2.33013874122679	1.47786996508257	MAX_ D3	ARHGAP15	lTurF
ARID3C	0.593010570469117	4.73849469498254	1.89089574188828	1.17442518257701	1.4379153919014	3.21083269461755	MAX_ D1	ARID3C	lTurF
ASCL4	0.693974111198114	3.30864531306634	1.88818212714088	2.44489610031944	3.67480915074648	9.24475110225004	MAX_ D5	ASCL4	lTurF
ASPN	0.655552105275734	157.543606328236	79.9083882143756	69.8182932954086	41.4396309130134	25.8959416853203	MAX_ D1	ASPN	lTurF
ATP13A4	0.556850281939293	5.81189518658135	5.37207645731843	4.6222681721373	7.77239327157926	13.3017308409899	MAX_ D5	ATP13A4	lTurF
