Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
A2ML1	0.508924544042574	6.21381517910222	3.26538125580754	3.18519944341203	3.46938097617828	2.28584681385334	MAX_ D1	A2ML1	lTurH
ABCA13	0.616981960808996	3.027567928611	0.437016321679051	0.878343104175192	1.22522195629489	2.09787114398748	MAX_ D1	ABCA13	lTurH
ABCC12	0.529114063306253	3.60779225626231	0.258631362093271	0.986005563139153	3.09630861749928	2.45448900121439	MAX_ D1	ABCC12	lTurH
ABI3	0.676928816081343	0.802111753153706	2.31625777359883	2.2217804808186	0.807872825201989	4.75748313282026	MAX_ D5	ABI3	lTurH
ACAN	0.563304383465671	147.480623145878	392.976614626451	277.732674212223	184.715407436464	76.5159552369202	MAX_ D2	ACAN	lTurH
ACTA1	0.544362039501242	187.766113069169	138.38487750421	93.3239081672143	42.1895311170274	68.3151584500095	MAX_ D1	ACTA1	lTurH
ADGRB1	0.514268433808892	4.33586073050162	8.33396870597561	5.05487502428327	3.32474291719978	3.4768080165802	MAX_ D2	ADGRB1	lTurH
ADORA2B	0.513138684866708	3.84341810445542	8.81005411665482	2.98586793253963	1.65277335662968	8.87938360102884	MAX_ D5	ADORA2B	lTurH
ADPRHL1	0.578882208742017	4.16980989131829	6.2867134568571	3.721784538783	1.1352286442448	1.56296446654792	MAX_ D2	ADPRHL1	lTurH
ALOX5AP	0.52259651364709	6.89908709645406	3.29711461682829	3.79920974762757	2.92530416988779	3.15296439565452	MAX_ D1	ALOX5AP	lTurH
ANG	0.568600948081297	1.84053619525949	6.66628046591884	5.48524819919164	13.8761793476265	9.95261759890985	MAX_ D4	ANG	lTurH
ANKRD35	0.562648452043685	4.73730324424429	2.57323273833193	1.42035726878069	1.74514285710529	2.54873476381694	MAX_ D1	ANKRD35	lTurH
AQP4	0.536658092806469	3.5526442158849	8.53109082013604	4.54463269505186	4.79598086141641	2.91798979181906	MAX_ D2	AQP4	lTurH
AQP5	0.741971290049942	2.88868258348242	8.79901975435635	3.76710229014846	1.86023087045363	0.565583120082072	MAX_ D2	AQP5	lTurH
AQP8	0.556792462437218	1.37567228148246	1.10329049829413	1.90832833311358	1.88469867322295	3.5378402072103	MAX_ D5	AQP8	lTurH
ART1	0.556541972989202	3.00561830382337	4.75682487784609	1.7290848336818	1.25991697532578	2.44318858783108	MAX_ D2	ART1	lTurH
ART5	0.614797206229764	4.34124085686646	3.32990778072603	1.33706790438253	1.01313801646753	1.00891872440173	MAX_ D1	ART5	lTurH
ASCL4	0.62646507998298	9.22491363408699	1.69535768120892	1.62262820162556	3.03576922066177	7.42955440239415	MAX_ D1	ASCL4	lTurH
ATOH7	0.609524748580916	3.59273162565813	1.46929196554363	1.18107664887123	1.96497088061444	0.996151644211314	MAX_ D1	ATOH7	lTurH
ATP6	0.684082846276983	4313.4475690839	1236.88437640969	1371.43849929888	1435.99268501249	1406.45275431275	MAX_ D1	ATP6	lTurH
ATP8	1	13.2016980676677	0	0	0	0	MAX_ D1	ATP8	lTurH
AVPR1A	0.566795971533258	1.21357850397365	4.84899631108306	6.22590067348689	3.25376238493937	1.47200381035721	MAX_ D3	AVPR1A	lTurH
